#### p(f|chinese)/p(f|english)
0.717352 NP((())(()(()()()()())))
0.717352 NP((())(()()()))
0.717352 NP((())()(()())())
0.717352 NP(()(()())()(()()))
0.717352 PP(()((()(()((()())(()(()())))))))
0.717352 PP(()((()()())(((())(())))))
0.717352 PP(()((()())(()((()()())()(()())))))
0.717352 PP(()((()())(()(()(()()())))))
0.717352 PP(()((()())(()()())))
0.717352 PP(()((()())()()()))
0.717352 PP(()((())((()(()(()()))))))
0.717352 PP(()((())(()((())(()(()))))))
0.717352 PP(()((())(()(()()()()()))))
0.717352 PP(()((())()(()()()())))
0.717352 PP(()(()(()())()(()())))
0.717352 PP(()(()()((()(()(()))))))
0.717352 PP(()()(()()()()))
0.717352 S((()((()(()(()(())))))))
0.717352 S((()((()(()(()()))))))
0.717352 S((()((()(()(()))))))
0.717352 S((()((()()())(()(()()())))))
0.717352 S((()((()())(()(()()())))))
0.717352 S((()(()(()((()(())))))))
0.717352 S((()(()())(()(()()()))))
0.717352 S((()(())((()(()(()))))))
0.717352 S((()()()(()())))
0.717352 S((())(())(()(()(()())))())
0.717352 S((())(())())
0.717352 SBAR((())((()()(()))))
0.717352 SBAR((())((()()())(()(()))))
0.717352 SBAR(()((()())(()((()(()))))))
0.717352 SBAR(()((()())(()(()()()))))
0.717352 SBAR(()((())(()(()()()()))))
0.717352 SBAR(()((())(()()(()(())))))
0.717352 SBAR(()()((()(()(()()())))))
0.717352 VP((())()(()()()()))
0.717352 VP(()((()(()((()())(()(()()())))))))
0.717352 VP(()((()()()()())(()(()))))
0.717352 VP(()((()()())(((())(())))))
0.717352 VP(()((()()())(()((()())(()(()))))))
0.717352 VP(()((()())(()(()(()())))))
0.717352 VP(()((())((()(())))))
0.717352 VP(()(()((()(()(()(())))))))
0.717352 VP(()(()((()()()())(()(())))))
0.717352 VP(()(()((()()())(()((()())(()(())))))))
0.717352 VP(()(()((()())(()(()(()()))))))
0.717352 VP(()(()((()())()(()))))
0.717352 VP(()(()((())((()(()))))))
0.717352 VP(()(()((())(()(()(()(()())))((()(()(()()()()))))))))
0.717352 VP(()(()((())()(()((()())(()(()())))))))
0.717352 VP(()(()(()((()())(()(()()()()))))))
0.717352 VP(()(()(()((()())(()(()()()))))))
0.717352 VP(()(()(()((())(())))))
0.717352 VP(()(()(()(()((()())(()(()()())))))))
0.717352 VP(()(()(()(()(()())()))))
0.717352 VP(()(()(()(()()))(()(()()))))
0.717352 VP(()(()()())(()((()())(()(()())))))
0.717352 VP(()(()()())(()((()))))
0.717352 VP(()(())((()(()(()(()()))))))
0.717352 VP(()(())((()())()))
0.717352 VP(()(())(()(()(()((()())(()(()())))))))
0.717352 VP(()(())(()(()(()(()())))))
0.717352 VP(()(())(()(()()()()())))
0.717352 VP(()()(()((()))))
0.717352 VP(()()(())(()))
0.721374 NP((()())(()((()())(()(()())))))
0.721374 UH()
0.721374 VP(()(()(()())()))
0.721374 VP(()(())(()(()()()())))
0.723445 LS()
0.724708 S((()(()(()()()()))))
0.735348 VP(()(()((()())(()(()())))))
0.740156 PP(()(()()()()()))
0.743063 VP(()(()(())(()())))
0.743063 VP(()(()()()()()))
0.748276 ADJP(()(()((()())(()(())))))
0.748276 FW()
0.748276 NP((()())(()((()()())(()(())))))
0.748276 S((()()())(()(()()())))
0.748276 S((()())(()(()()())))
0.748276 VP(()((()(()()))))
0.748276 VP(()(())(()((()()())(()(()())))))
0.748276 VP(()()(()(()(()()))))
0.75054 NP(()(()())())
0.750765 ADJP(()()())
0.754151 PP(()((()(()()))))
0.758784 VBN()
0.760329 NP((()())()(()))
0.760329 VP(()(()((()()())(()(()())))))
0.762082 NP((())(()(()())))
0.770736 NP((()()())()(()))
0.770736 NP((()())()()())
0.770736 S((()((())(()(())))))
0.770736 S((()(()((()())(()(()()))))))
0.770736 SBAR((())((()())(()(()))))
0.770736 VP((())()(()))
0.770736 VP(()((()()()())(()(()))))
0.770736 VP(()(()(()(()((()())(()(())))))))
0.7744 VP(()(()(()((()())(()(()))))))
0.777407 NP((()()())(()(()()())))
0.787789 ADVP(()(()(())))
0.78917 NNS()
0.791968 ADJP((()())()())
0.791968 ADJP(()((()(()(())(()(()))))))
0.791968 ADJP(()(()((()(()()()())))))
0.791968 ADJP(()(()((()()())(()(()())))))
0.791968 ADJP(()(()((())(()(()()())))))
0.791968 ADJP(()(()((())(()(()())))))
0.791968 ADJP(()()(()((()())(()(()()())))))
0.791968 ADVP((()())(()((())(()(()()())))))
0.791968 ADVP((())()(()))
0.791968 NP(((()())(()(())))()((())(()(()))))
0.791968 NP(((()())()()())(()(())))
0.791968 NP((()(()())()())(()(())))
0.791968 NP((()(())())(()(()())))
0.791968 NP((()()()())(()((())(()(()())))))
0.791968 NP((()()()())(()(()(()))))
0.791968 NP((()()()())(()(()()()())))
0.791968 NP((()()()())(()(()()())))
0.791968 NP((()()())((())((()(()(()(())))))))
0.791968 NP((()()())(()((()(()()())))))
0.791968 NP((()()())(()((()(()())(()(()))))))
0.791968 NP((()()())(()((()(()())))))
0.791968 NP((()()())(()((()())()())))
0.791968 NP((()()())(()(())()(()(()()))))
0.791968 NP((()()())(()()(()())))
0.791968 NP((()()())(()()(())))
0.791968 NP((()()())()(()(()))())
0.791968 NP((()()())()(()())()(()()))
0.791968 NP((()())(((()(()(()()))))))
0.791968 NP((()())(((())(()(()((()(()))))))))
0.791968 NP((()())(((())(())(()))))
0.791968 NP((()())((())((())(()(()()())))))
0.791968 NP((()())(()((()(()()()())))))
0.791968 NP((()())(()((()()()())(()(()())))))
0.791968 NP((()())(()((()())(()(()(()))))))
0.791968 NP((()())(()((())((()(()(()())))))))
0.791968 NP((()())(()((())(()(()(()()))))))
0.791968 NP((()())()((()()())(()(()()))))
0.791968 NP((()())()((()()())(()(()))))
0.791968 NP((()())()((()())(()(()))))
0.791968 NP((()())()(()()()())())
0.791968 NP((()())()(())()()(()))
0.791968 NP((())((())((()(()((()(()(())))))))))
0.791968 NP((())((())((()(()())))))
0.791968 NP((())((())((()()(()(()(())))))))
0.791968 NP((())((())((()()(())))))
0.791968 NP((())((())((()())(()(())))))
0.791968 NP((())((())((())(()(()())))))
0.791968 NP((())((())((())(()(())))))
0.791968 NP((())(()((()()())(()))))
0.791968 NP((())(()((())(()(()()())))))
0.791968 NP((())(()((())(()()))))
0.791968 NP((())(()((())()(())()()(()()))))
0.791968 NP((())(()(()(()()()))))
0.791968 NP((())(()()())(()))
0.791968 NP((())(()())(()(())))
0.791968 NP((())()(()(()())))
0.791968 NP((())()(())()()(()()))
0.791968 NP((())()(())())
0.791968 NP(()((())()()(()())()))
0.791968 NP(()()((()(()(()())(()(()))))))
0.791968 NP(()()(()()())())
0.791968 NX(()())
0.791968 PP((()(()()))()(()(())))
0.791968 PP(()(((()(()))()(()(()(()()))))))
0.791968 PP(()(((()())())(()(()))))
0.791968 PP(()((()((()()()())(()(()()))))))
0.791968 PP(()((()((()()())(()(()()()))))))
0.791968 PP(()((()((()())(()(()()))))))
0.791968 PP(()((()((())(()(()))))))
0.791968 PP(()((()(()(()()())))))
0.791968 PP(()((()(()()()())(()(())))))
0.791968 PP(()((()(()())(()))))
0.791968 PP(()((()(())(()(()()())))))
0.791968 PP(()((()(())(()()()))))
0.791968 PP(()((()()()()())(()(()))))
0.791968 PP(()((()()()())()(()())))
0.791968 PP(()((()()())(()((())(()(()()))))))
0.791968 PP(()((()()())(()(()(()())))))
0.791968 PP(()((()()())(()(()()()()()))))
0.791968 PP(()((()()())()(()())()(()())))
0.791968 PP(()((()()())()()))
0.791968 PP(()((()())(((())(()(()((()(())))))))))
0.791968 PP(()((()())(((())(()(()(())))))))
0.791968 PP(()((()())(((())(()(()))))))
0.791968 PP(()((()())(()((()())(()(()()()))))))
0.791968 PP(()((()())(()((()())(()(()))))))
0.791968 PP(()((()())(()((()())()(())))))
0.791968 PP(()((()())(()(()()()()()()))))
0.791968 PP(()((()())(()()(()()()))))
0.791968 PP(()((()())()(()()()())))
0.791968 PP(()((())((()()())(()(())))))
0.791968 PP(()((())((())((()((()(()))))))))
0.791968 PP(()((())((())((()(()(()())))))))
0.791968 PP(()((())((())((())(()(()()))))))
0.791968 PP(()((())(()((()()())(())))))
0.791968 PP(()((())(()((()())()))))
0.791968 PP(()((())(()((())()(()())))))
0.791968 PP(()((())(()((())()(())()()(()())))))
0.791968 PP(()((())(()()())))
0.791968 PP(()((())()(()())()))
0.791968 PP(()((())()(())()()(()())))
0.791968 PP(()((())()))
0.791968 PP(()(()(()()()())()))
0.791968 PP(()(()()()()()()()))
0.791968 PP(()()((()(()()()()))))
0.791968 PRN(()(()(()()))())
0.791968 PRN(()(()))
0.791968 PRN(()()()(())())
0.791968 S(((()(()))()(()(()(()())))))
0.791968 S(((()()())(()(())))(()(())))
0.791968 S(((())(()(())))(()(()(()))))
0.791968 S(((())(())(()(()(()()))))()(())(()(()(()(()()()()))))())
0.791968 S((()((()(()(()()()))))))
0.791968 S((()((()()()())(()(())))))
0.791968 S((()((()())(()()))))
0.791968 S((()(()((()(()(()(()()))))))))
0.791968 S((()(()((()(()()()()))))))
0.791968 S((()(()((()()()())(()(()()))))))
0.791968 S((()(()((()()())(()((()())(()(()))))))))
0.791968 S((()(()((()()())(()(()()()()))))))
0.791968 S((()(()((()())(((())(()(()))))))))
0.791968 S((()(()((()())(()((()(()))))))))
0.791968 S((()(()((()())(()(()()())))(()(())))))
0.791968 S((()(()((()())(())))))
0.791968 S((()(()((())((()(())))))))
0.791968 S((()(()((())(()(()(()()())))))))
0.791968 S((()(()(()((()(()(()))))))))
0.791968 S((()(()(()((()(())(())))))))
0.791968 S((()(()(()((()()())(()(()())))))))
0.791968 S((()(()(()((()()())(()(())))))))
0.791968 S((()(()(()((()())(()(()())))))))
0.791968 S((()(()(()((())(()(()(()))))))))
0.791968 S((()(()(()((())(()))))))
0.791968 S((()(()(()(()(()()()()))))))
0.791968 S((()(()(()(()()))(()(()())))))
0.791968 S((()(()(()(()))(()(())))))
0.791968 S((()(()(()()())))()(())(()(()(()())))())
0.791968 S((()(()(()()())))()(())(()(()()))())
0.791968 S((()(()(()())(()(()()())))))
0.791968 S((()(()(())((()(()(()())))))))
0.791968 S((()(()(())(()((())(()(()())))))))
0.791968 S((()(()(())(()((())(()(())))))))
0.791968 S((()(()()((()(()(())(()())))))))
0.791968 S((()(()()()())(()(()))))
0.791968 S((()(()()())(()((())))))
0.791968 S((()(()()())(()(()()()()))))
0.791968 S((()(()())(()(()(()())))))
0.791968 S((()(()())(())))
0.791968 S((()(())(()(()(()()())))))
0.791968 S((()(()))())
0.791968 S((()()(()(()(()())))))
0.791968 S((()()())(()(()(()()()))))
0.791968 S((()())(()((()())(()(()))))())
0.791968 S((()())(()(()(())))())
0.791968 S((()())(()(())(()(()(()())))))
0.791968 S((()())(()()(())))
0.791968 S((())(()(((()())(()(()))))))
0.791968 S((())(()(((())(()(()(()(()())))((()(()(()()))))))))())
0.791968 S((())(()((()(()(()(())))))))
0.791968 S((())(()((()()())(()(()()))))())
0.791968 S((())(()((()())(((()(()(()())))))))())
0.791968 S((())(()((()())(()(()()()())))))
0.791968 S((())(()(()((()(())))))())
0.791968 S((())(()(()((()())(()(()()())))))())
0.791968 S((())(()(()((())((())(()(())))))))
0.791968 S((())(()(()((())(()(()(()(()((()())(()(()))))))))))())
0.791968 S((())(()(()((())(()(()(()(()(()()))))))))())
0.791968 S((())(()(()((())(()(()(()(()())))((()(()(()()()()))))))))())
0.791968 S((())(()(()((())(()(()()()))))))
0.791968 S((())(()(()(()((()())(()(())))))))
0.791968 S((())(()(()(()(()(()()()))))))
0.791968 S((())(()(()()(()(())))))
0.791968 S((())(()(()()()()))())
0.791968 S((())(()(()())(()(())))())
0.791968 S((())(()(()())(()(()))))
0.791968 S((())(()(())(()((())))))
0.791968 S((())(()(())(()(()(()((()())(()(()()))))))))
0.791968 S((())(()(())(()()()())))
0.791968 S((())(()()(())(())))
0.791968 S((())(()()(()))())
0.791968 S((())(()()())((()(()(()(()()()))))))
0.791968 S((())(())(()(()(()(())))))
0.791968 S((())(())(()(()(()()))))
0.791968 S((())()(()())(()(()))())
0.791968 SBAR(((())(()(()((()(())))))))
0.791968 SBAR(((())(()(()(()(()()()))))))
0.791968 SBAR(((())(()(()(()(()())))((()(()(()())))))))
0.791968 SBAR(((())(())(())))
0.791968 SBAR((()())((())(()(()))))
0.791968 SBAR((())((()((()())(()())))))
0.791968 SBAR((())((()(()((()(()(()))))))))
0.791968 SBAR((())((()(()((()(()()()())))))))
0.791968 SBAR((())((()(()((()())())))))
0.791968 SBAR((())((()(()(()(()()()()))))))
0.791968 SBAR((())((()(()(()()()())))))
0.791968 SBAR((())((()(()()()()))))
0.791968 SBAR((())((()()(()(()(()))))))
0.791968 SBAR((())((()()())(()(()()))))
0.791968 SBAR((())((()())(()(()(()(()()))))))
0.791968 SBAR((())((()())(()(()()()()))))
0.791968 SBAR((())((()())(()()(()))))
0.791968 SBAR((())((())(()((()(()(()())))))))
0.791968 SBAR((())((())(()(()())(()))))
0.791968 SBAR(()(((()())(()(())))(()(()()))))
0.791968 SBAR(()((()()())(()(()()()))))
0.791968 SBAR(()((()()())(()(()()))))
0.791968 SBAR(()((())(()(()((())(()(()())))))))
0.791968 SBAR(()((())(()(()(()(()((()())(()(()())))))))))
0.791968 SBAR(()((())(()(())(()(()(()((()())(()(()())))))))))
0.791968 SBAR(()((())(()(())(()))))
0.791968 SBAR(()((())(()))()())
0.791968 SBAR(()()((())(())))
0.791968 UCP((()(()()))()(()))
0.791968 UCP(()(())()(()(()())))
0.791968 VP((()(()()))()(()(())(())))
0.791968 VP((()(()())))
0.791968 VP((()(())(()(()())))()(()(()())))
0.791968 VP((()(()))()(()(())(())))
0.791968 VP((()(())))
0.791968 VP((())(()(()())))
0.791968 VP((())()((())(()(()()))))
0.791968 VP((())()(()(()())))
0.791968 VP((())()(())(()(()()())))
0.791968 VP(()(((())(()(()(()(()())))((()(()(()()))))))))
0.791968 VP(()((()(()((()()())(()(()()()())))))))
0.791968 VP(()((()(()((()())(()(()())))))))
0.791968 VP(()((()(()((())(()(()(()()()))))))))
0.791968 VP(()((()(()(()((()())(()(()()))))))))
0.791968 VP(()((()(()(()(()))(()(()))))))
0.791968 VP(()((()(()(())((()(()(()()))))))))
0.791968 VP(()((()(()())())(()(()()()))))
0.791968 VP(()((()(()())())(()(()))))
0.791968 VP(()((()(()()))()(()(()))))
0.791968 VP(()((()(())(()(()())))()(()(()()))))
0.791968 VP(()((()()())((())((()(()))))))
0.791968 VP(()((()()())(()((()())(()(()()()))))))
0.791968 VP(()((()()())(()(())))(()(()())))
0.791968 VP(()((()()())(())))
0.791968 VP(()((()())(((()(()(()())))))))
0.791968 VP(()((()())(((())(()(()))))))
0.791968 VP(()((()())(()((()())(()(()(())))))))
0.791968 VP(()((()())(()((())(()(()()()))))))
0.791968 VP(()((()())(()((())(()(()()))))))
0.791968 VP(()((()())(()(()((()())(()(()()())))))))
0.791968 VP(()((()())(()(()(()()())))))
0.791968 VP(()((()())(()(()()())))(()(())))
0.791968 VP(()((()())()(())))
0.791968 VP(()((()())))
0.791968 VP(()((())(()((()()())(()(()))))))
0.791968 VP(()((())(()((())(()())))))
0.791968 VP(()((())(()(()()()()))))
0.791968 VP(()((())(()(()())))(()(())))
0.791968 VP(()((())(()(())(()(())))))
0.791968 VP(()((())(()()())((()(()(()(()()())))))))
0.791968 VP(()((())()()(())))
0.791968 VP(()(()((()(()((()())(()(()()()))))))))
0.791968 VP(()(()((()(()((()())(()(()()))))))))
0.791968 VP(()(()((()(()((()())(()(()))))))))
0.791968 VP(()(()((()(()(()((())(()))))))))
0.791968 VP(()(()((()(()()()())))))
0.791968 VP(()(()((()(())(())))))
0.791968 VP(()(()((()()()())(()(()()())))))
0.791968 VP(()(()((()()()())(()(()())))))
0.791968 VP(()(()((()()())((())((()(()(()(())))))))))
0.791968 VP(()(()((()()())(()((()())(()(()())))))))
0.791968 VP(()(()((()()())(()(()(()()))))))
0.791968 VP(()(()((()())(((())(()(())))))))
0.791968 VP(()(()((()())((())((()(())))))))
0.791968 VP(()(()((()())(()((()(()()())))))))
0.791968 VP(()(()((()())(()((()(())))))))
0.791968 VP(()(()((()())(()((()()())()(()()))))))
0.791968 VP(()(()((()())(()((())(()(())))))))
0.791968 VP(()(()((()())(()(()()())))(()(()))))
0.791968 VP(()(()((()())(()()()))))
0.791968 VP(()(()((()())()(()()()()))))
0.791968 VP(()(()((()())()(()()()))))
0.791968 VP(()(()((()()))))
0.791968 VP(()(()((())(()(()(()(()((()())(()(()))))))))))
0.791968 VP(()(()((())(()(()(()(()()))((()(()(()()())))))))))
0.791968 VP(()(()((())(()(()()()())))))
0.791968 VP(()(()((())(()(()())))(()(()))))
0.791968 VP(()(()((())(()(())(()(()(()((()())(()(()()))))))))))
0.791968 VP(()(()(()((()(()((()())(()(()()())))))))))
0.791968 VP(()(()(()((()(()(()((())(())))))))))
0.791968 VP(()(()(()((()(()(()())))))))
0.791968 VP(()(()(()((()(())(()))))))
0.791968 VP(()(()(()((()())()(()()()())))))
0.791968 VP(()(()(()((()())()))))
0.791968 VP(()(()(()((())(()(()(())))))))
0.791968 VP(()(()(()(()((()()())(()(()())))))))
0.791968 VP(()(()(()(()()()()()()))))
0.791968 VP(()(()(()(()())))(()(()())))
0.791968 VP(()(()(()(()))(()(()()))))
0.791968 VP(()(()(()(())))(()(()())))
0.791968 VP(()(()(()()((()(()(())(()(()()))))))))
0.791968 VP(()(()(()()((()(()))))))
0.791968 VP(()(()(()()()())(()(()))))
0.791968 VP(()(()(()()()()))(()(())))
0.791968 VP(()(()(()()()))(()((())(()(()())))))
0.791968 VP(()(()(()()()))(()(()())))
0.791968 VP(()(()(()())(()())))
0.791968 VP(()(()(()()))(()((())(()(()())))))
0.791968 VP(()(()(()()))(()(())))
0.791968 VP(()(()(())((()(()(()()))))))
0.791968 VP(()(()(())((()())())))
0.791968 VP(()(()(())(()((()())(()(()()()))))))
0.791968 VP(()(()(())(()((()())(()(()()))))))
0.791968 VP(()(()()((()(()(())(()()))))))
0.791968 VP(()(()()()(()()())))
0.791968 VP(()(()()())((())((())(()(()(()))))))
0.791968 VP(()(()()())(()((()()())(((())(()))))))
0.791968 VP(()(()()())(()((()()())(()(())))))
0.791968 VP(()(()()())(()((()())(()(()(()))))))
0.791968 VP(()(()()())(()(()()()())))
0.791968 VP(()(()())((()(()(())(()())))))
0.791968 VP(()(()())((()())(()(()))))
0.791968 VP(()(()())(()((()(())))))
0.791968 VP(()(()())(()((()())()(()()()))))
0.791968 VP(()(()())(()((())(()(()())))))
0.791968 VP(()(()())()(()(()(()))))
0.791968 VP(()(())((()()())(()(()))))
0.791968 VP(()(())((()())(()(()()()))))
0.791968 VP(()(())((())))
0.791968 VP(()(())(()((()(()(()()))))))
0.791968 VP(()(())(()((()()()())(()(()())))))
0.791968 VP(()(())(()((()()())()())))
0.791968 VP(()(())(()((()())(()(()(()()))))))
0.791968 VP(()(())(()((())(()(()(()()))))))
0.791968 VP(()(())(())(()(()())))
0.791968 VP(()(())()(()(()())))
0.791968 VP(()()((()(()(())))))
0.791968 VP(()()(()(()()(()(()())))))
0.791968 VP(()()()(()(()()())))
0.791968 WHNP((())(()(())))
0.791968 WHNP(()()())
0.795949 S((()(()(()(()()())))))
0.795949 VP(()((()())(()(()()()))))
0.801177 VP(()(())(()()()))
0.807661 VP(()(()(()(()()()))))
0.810549 CC()
0.812706 NP((()()())(()(()()()()())))
0.812706 NP((())(()((()())(()(()())))))
0.812706 NP(()()((()(()(())(()(()()))))))
0.812706 PP(()((()(()())(()(())))))
0.812706 PP(()((()()())(()(()()()()))))
0.812706 PP(()((()()())()(())))
0.812706 PP(()((())(()(()(()())))))
0.812706 PP(()((())(()(()()()()))))
0.812706 S((()((()())(()(()())))))
0.812706 S((()((()())(()(())))))
0.812706 S((()(()()())(()(()()))))
0.812706 S((()()(())))
0.812706 S((()()())(()(()(()))))
0.812706 S((()())(()(()(()(()())))))
0.812706 S((()())(()(()(()()()()))))
0.812706 S((())(()((())(()(()())))))
0.812706 S((())(()()()))
0.812706 SBAR(((()())(()(()))))
0.812706 SBAR(()((()())(()(()(()(()))))))
0.812706 VP(()(((())(()))))
0.812706 VP(()((()(()(()()()())))))
0.812706 VP(()((()()())(()(()()()()))))
0.812706 VP(()(()((()(()(())(()(()())))))))
0.812706 VP(()(()((()()())(()(()()()())))))
0.812706 VP(()(()((())(()(()(()))))))
0.812706 VP(()(()(()(()(()()()())))))
0.812706 VP(()(()()((()(())))))
0.812706 VP(()(()()()())(()(())))
0.812706 VP(()(())((()(()(()())))))
0.812706 VP(()(())(()((()())(()(()()())))))
0.820069 PP(()(()()()))
0.82735 NP((()()())(()))
0.82735 NP((()())(()()()))
0.82735 PP(()((()())()(())))
0.82735 PP(()()(()()()))
0.82735 QP(()())
0.82735 S((()(()(()())(()(())))))
0.82735 S((()(()())(()(()))))
0.82735 SBAR((())((())(()(()()()))))
0.82735 VP(()()()(()()))
0.828287 VP(()()(()))
0.837101 POS()
0.838243 NP((()()())()(()()))
0.838243 PP(()((()()())()(()())))
0.838243 S((()(()(()())(()(()())))))
0.84072 VP(()(()())(()(()())))
0.846662 VP(()(()(()(()(()()())))))
0.85838 NNP()
0.858735 PRT(())
0.862635 NP(()()())
0.869607 JJ()
0.873904 S((()(())))
0.876779 RP()
0.881629 EX()
0.883909 ADJP(((()()())(()()))())
0.883909 ADJP(((()())(()()))(()(()(()(()(()()())((()(()(()(()(()(()()()())()))(()(())))))))))))
0.883909 ADJP(((()())()((()(()(()(()(()()()())))))))(()(()))(()(()))(()(((()())(()(())))(()(()())))))
0.883909 ADJP(((()())()())()(((()()())(()()))()))
0.883909 ADJP(((()())()())()(()()((()(()(())((())(()()()())))))))
0.883909 ADJP((()(()(())))()()(()()()))
0.883909 ADJP((()()((()(()((()())())))))()(()()))
0.883909 ADJP((()()(()(((())(()(())))()((())(()(()()))))))(()(((()())(()((()())(()(()())))))(()(()())()(()(()(())))))))
0.883909 ADJP((()()(()(()())))()()(()()(()((()())(()(()()()))))))
0.883909 ADJP((()()()(()(()())))(()((())(()((()(()(())(()((()((())(()(())))))))))))))
0.883909 ADJP((()()()(()(())))()()(()()))
