#### p(f|chinese)/p(f|english)
0.147516 |-LRB-
0.770736 (VB)(NP)(PP)(SBAR)|VP
0.77156 (IN)|PP
0.774293 (JJ)(NNS)|NP
0.7744 (NN)(NN)(NN)|NP
0.7744 (VB)(ADJP)(SBAR)|VP
0.775349 (NNS)|NP
0.787789 (DT)(NN)(POS)|NP
0.787789 (RB)(IN)|CONJP
0.787789 (RB)(JJ)(NNS)|NP
0.787789 (VBZ)(ADVP)(PP)|VP
0.78917 |NNS
0.791968 (ADJP)(JJ)(JJ)(NNS)|NP
0.791968 (ADVP)(ADVP)|FRAG
0.791968 (ADVP)(.)|FRAG
0.791968 (ADVP)(NP)|RRC
0.791968 (ADVP)(,)(S)(,)(NP)(VP)(.)|S
0.791968 (ADVP)(TO)(NP)|PP
0.791968 (ADVP)(VBN)(PP)|ADJP
0.791968 (ADVP)(VB)(NP)(SBAR)|VP
0.791968 (ADVP)(VBP)(PP)|VP
0.791968 (ADVP)(VBP)(S)|VP
0.791968 (,)(CC)(ADVP)|PRN
0.791968 (CC)(ADVP)|PRN
0.791968 (CD)(JJ)(JJ)(NN)|NP
0.791968 (CD)(NN)(NN)(NNS)|NP
0.791968 (DT)(ADVP)(CC)(PP)|UCP
0.791968 (DT)(IN)(NP)|PP
0.791968 (DT)(JJ)(NN)(CC)(NN)(NN)|NP
0.791968 (DT)(JJ)(NN)(POS)|NP
0.791968 (DT)(JJR)(JJ)(NNS)|NP
0.791968 (DT)(JJ)(VBG)(NN)|NP
0.791968 (DT)(NN)(JJ)(NN)(NN)|NP
0.791968 (DT)(NN)(NN)(CC)(NN)|NP
0.791968 (DT)(NNP)(NN)|NP
0.791968 (DT)(NNS)|NP-TMP
0.791968 (DT)(VBG)(JJ)(NN)|NP
0.791968 (IN)(CC)(RB)(S)|SBAR
0.791968 (IN)(NN)|NP
0.791968 (IN)|NP
0.791968 (IN)(NP)|ADVP
0.791968 (IN)(SBARQ)|PP
0.791968 (IN)(,)(S)|SBAR
0.791968 (JJ)(CC)(JJ)(NN)(NN)|NP
0.791968 (JJ)(,)(JJ)|ADJP
0.791968 (JJ)(JJ)(JJ)(NNS)|NP
0.791968 (JJ)(JJ)(NN)(NN)|NP
0.791968 (JJ)(NN)(NN)(NN)|NP
0.791968 (JJ)(NN)(NN)(NNS)|NP
0.791968 (JJ)(NNS)|NP-TMP
0.791968 (JJ)(NP-TMP)|ADJP
0.791968 (JJR)(NN)(NNS)|NP
0.791968 (JJS)|ADJP
0.791968 (JJ)(TO)(NP)|PP
0.791968 (-LRB-)(CC)(VP)(-RRB-)|PRN
0.791968 (-LRB-)(S)(.)(-RRB-)|PRN
0.791968 (MD)(ADVP)(ADVP)(VP)|VP
0.791968 (MD)(ADVP)(RB)(VP)|VP
0.791968 (MD)(,)(PP)(,)(VP)|VP
0.791968 (NN)|ADJP
0.791968 (NN)(JJ)(NN)(NNS)|NP
0.791968 (NN)(JJ)(NNS)|NP
0.791968 (NN)(JJR)|ADJP
0.791968 (NN)(NN)(JJ)(NNS)|NP
0.791968 (NNP)(NN)(NN)|NP
0.791968 (NNP)(NNP)(NNS)|NP
0.791968 (NNP)(POS)|NP
0.791968 (NP)(,)(ADJP)(,)|NP
0.791968 (NP)(CC)(SBAR)|NP
0.791968 (NP)(CC)(S)|NP
0.791968 (NP)(JJ)(NN)|NP
0.791968 (NP)(JJR)|ADJP
0.791968 (NP)(NP)(VP)(.)|S
0.791968 (NP)(,)(PP)(NP)(VP)(.)|S
0.791968 (NP)(PP)(,)(SBAR)|NP
0.791968 (NP)(,)(PP)(,)(VP)(.)|S
0.791968 (NP)(PRN)|VP
0.791968 (NP)(RBR)(JJ)|ADJP
0.791968 (NP)(,)(RRC)|NP
0.791968 (NP)|S
0.791968 (NP)(:)(S)|NP
0.791968 (NP-TMP)(,)(NP)(VP)|S
0.791968 (NP-TMP)(NP)(VP)(.)|S
0.791968 (NP-TMP)(VP)|S
0.791968 (NP)(,)(VP)(,)|NP
0.791968 (``)(NP)(VP)|S
0.791968 (NX)(CC)(NX)|NX
0.791968 (PP)(,)(ADVP)(,)(NP)(VP)(.)|S
0.791968 (PP)(CC)(ADVP)|UCP
0.791968 (PP)(CC)(PRN)(PP)|PP
0.791968 (PP)(,)(CC)(RB)(PP)|PP
0.791968 (PP)(,)(PP)(CC)(PP)|PP
0.791968 (,)(PP)(,)|PRN
0.791968 (PRP$)(CC)(PRP$)|ADJP
0.791968 (PRP$)(CD)(NNS)|NP
0.791968 (PRP$)(JJS)(JJ)(NN)|NP
0.791968 (PRP$)(NNS)(S)|NP
0.791968 (PRP$)(VBN)(NN)|NP
0.791968 (RB)(DT)(NN)(NN)|NP
0.791968 (RB)(JJ)(PP)|ADVP
0.791968 (RB)(JJR)|NP
0.791968 (RB)(NN)|ADVP
0.791968 (RB)(NN)(NN)|NP
0.791968 (RB)(RB)(IN)(S)|SBAR
0.791968 (RB)(RB)(RB)|ADVP
0.791968 (RBR)(IN)|ADVP
0.791968 (RBR)(JJ)(JJ)(NNS)|NP
0.791968 (RBR)(PP)|ADVP
0.791968 (SBAR)(,)(ADVP)(NP)(VP)|S
0.791968 (S)(CC)(ADVP)(S)|S
0.791968 (S)(SBARQ)|S
0.791968 (S)(,)(VP)(.)|S
0.791968 (TO)(CC)(IN)(NP)|PP
0.791968 (VB)|ADJP
0.791968 (VB)(CC)(VB)(PP)|VP
0.791968 (VBD)(ADJP)(PP)|VP
0.791968 (VBD)(NP)(NP)|VP
0.791968 (VBD)(NP)(PP)(SBAR)|VP
0.791968 (VBD)(PRT)(NP)|VP
0.791968 (VBD)(S)(SBAR)|VP
0.791968 (VBG)(NP)(PP)(,)(PP)|VP
0.791968 (VBG)(NP)(PP)(S)|VP
0.791968 (VBG)(PP)(,)(SBAR)(,)(SBAR)|VP
0.791968 (VBG)(PRT)(ADVP)|VP
0.791968 (VBN)(ADJP)(SBAR)|VP
0.791968 (VBN)(NP)(ADVP)|VP
0.791968 (VB)(NP)(ADVP)(S)|VP
0.791968 (VBN)(PP)(PP)(PP)|VP
0.791968 (VBN)(PP)(,)(PP)|VP
0.791968 (VBN)(PP)(,)(S)|VP
0.791968 (VBN)(PRN)|VP
0.791968 (VBN)(PRT)(PP)(S)|VP
0.791968 (VBN)(,)(S)|VP
0.791968 (VBP)(ADVP)(PP)(PP)|VP
0.791968 (VBP)(CC)(VBP)|VP
0.791968 (VBZ)(ADVP)(ADVP)|VP
0.791968 (VBZ)(,)(ADVP)(,)(S)|VP
0.791968 (VBZ)(ADVP)(,)(S)|VP
0.791968 (VBZ)(ADVP)(S)|VP
0.791968 (VBZ)(NP)(S)|VP
0.791968 (VBZ)(NP)(VP)|SQ
0.791968 (VBZ)(,)(S)|VP
0.791968 (VP)(,)(CC)(ADVP)(,)(VP)|VP
0.791968 (VP)(,)(CC)(RB)(VP)|VP
0.791968 (VP)(CC)(VP)(SBAR)|VP
0.791968 (VP)(NP)|SINV
0.791968 (VP)(PRN)(CC)(VP)|VP
0.791968 (VP)(,)(VP)(,)(VP)(PP)|VP
0.791968 (WDT)(NN)(NNS)|WHNP
0.791968 (WHADJP)(NNS)|WHNP
0.791968 (WP$)(NNS)|WHNP
0.792146 (DT)|NP
0.792966 (DT)(JJ)(JJ)(NN)|NP
0.801177 (RB)(DT)(NN)|NP
0.801177 (VBN)(ADVP)(PP)|VP
0.804383 (VB)(PP)(PP)|VP
0.810549 |CC
0.811967 (NP)(,)(CC)(NP)|NP
0.811967 (SBAR)(CC)(SBAR)|SBAR
0.811967 (VBZ)(ADVP)(ADJP)|VP
0.812706 (NP)(,)(NP)(,)(NP)(CC)(NP)|NP
0.812706 (NP)(UCP)|NP
0.812706 (PDT)(DT)|NP
0.812706 (RB)(JJ)(SBAR)|ADJP
0.812706 (S)(,)(ADVP)(S)(.)|S
0.812706 (TO)(SBAR)|PP
0.812706 (VB)(ADJP)(S)|VP
0.812706 (VB)(ADVP)(NP)|VP
0.812706 (VB)(CC)(VB)(NP)(PP)|VP
0.812706 (VBD)(ADVP)(PP)|VP
0.812706 (VBG)(NNS)|NP
0.812706 (VBG)(PP)(S)|VP
0.812706 (VBN)(ADJP)(PP)|VP
0.812706 (VBN)(ADJP)|VP
0.812706 (VB)(NP)(ADVP)(SBAR)|VP
0.812706 (VBN)(PP)(ADVP)|VP
0.812706 (VBN)(PRT)(PP)|VP
0.812706 (VBP)(RB)|VP
0.812706 (VB)(PRT)(SBAR)|VP
0.812706 (VP)(,)(VP)(,)(CC)(VP)|VP
0.812706 (WDT)(NNS)|WHNP
0.812706 (WDT)|NP
0.814303 (RB)(RB)|ADVP
0.815039 (DT)(NN)(S)|NP
0.81649 (VBZ)(ADVP)(NP)|VP
0.817865 (VP)|S
0.82735 (JJ)(NN)(S)|NP
0.82735 (VBZ)(PP)(SBAR)|VP
0.82735 (VP)(,)(CC)(ADVP)(VP)|VP
0.828287 (VB)(PRT)(PP)|VP
0.837101 |POS
0.837101 (VP)(,)(CC)(VP)|VP
0.838243 (PRP)|ADVP
0.838243 (RB)(IN)(S)|PP
0.838243 (VBN)(PP)|PP
0.844006 (IN)(SBAR)|PP
0.844793 (MD)(RB)(VP)|VP
0.846662 (SBAR)(,)(CC)(SBAR)|SBAR
0.853365 (DT)(JJ)(JJ)(NNS)|NP
0.853365 (VBP)(RB)(ADJP)|VP
0.853365 (VBZ)(RB)(VP)|VP
0.85838 |NNP
0.858735 (RP)|PRT
0.869607 |JJ
0.870465 (ADVP)(NP)(VP)|S
0.870465 (PDT)(DT)(NN)|NP
0.876779 |RP
0.881629 |EX
0.881629 (EX)|NP
0.883909 (ADJP)(ADJP)|ADJP
0.883909 (ADJP)(,)(ADJP)(CC)(ADJP)|ADJP
0.883909 (ADJP)(ADJP)(NN)|NP
0.883909 (ADJP)(ADVP)|RRC
0.883909 (ADJP)(ADVP)|S
0.883909 (ADJP)(,)(CC)(ADJP)(,)|ADJP
0.883909 (ADJP)(CC)(ADJP)(,)(CC)(ADVP)|ADJP
0.883909 (ADJP)(CC)(ADJP)(PP)|UCP
0.883909 (ADJP)(DT)(NN)|NP
0.883909 (ADJP)(.)|FRAG
0.883909 (ADJP)(JJ)(NN)(NNS)|NP
0.883909 (ADJP)(NNP)(NNS)|NP
0.883909 (ADJP)(NNS)(CC)(NN)|NP
0.883909 (ADJP)(NP)|ADJP
0.883909 (ADJP)(NP)|NP
0.883909 (ADJP)(NP)|S
0.883909 (ADJP)(PP)(PP)(SBAR)|ADJP
0.883909 (ADJP)(.)|S
0.883909 (ADJP)(SBAR)(.)|FRAG
0.883909 (ADJP)(SBAR)|S
0.883909 (ADVP)(,)(ADVP)(,)(NP)(VP)(.)|S
0.883909 (ADVP)(ADVP)(,)(NP)(VP)(.)|S
0.883909 (ADVP)(ADVP)|PRN
0.883909 (ADVP)(CC)(PP)|UCP
0.883909 (ADVP)(JJ)(S)|ADJP
0.883909 (ADVP)(MD)(RB)(VP)|VP
0.883909 (ADVP)(NN)|NP-TMP
0.883909 (ADVP)(,)(NP)(ADVP)(VP)|S
0.883909 (ADVP)(,)(NP)(.)|FRAG
0.883909 (ADVP)(NP)(NP-TMP)|S
0.883909 (ADVP)(,)(NP)(NP-TMP)(VP)(.)|S
0.883909 (ADVP)(NP)(PP)|NP
0.883909 (ADVP)(NP)(,)(S)(VP)(.)|S
0.883909 (,)(ADVP)(NP)(VP)|S
0.883909 (ADVP)(,)(PP)(,)(NP)(ADVP)(VP)(.)|S
0.883909 (ADVP)(,)(PP)|UCP
0.883909 (ADVP)(PP)|VP
0.883909 (ADVP)(PRN)(NP)(,)(VP)(.)|S
0.883909 (ADVP)(PRN)(VP)(.)|S
0.883909 (ADVP)(,)(S)(,)(S)(,)(CC)(S)(.)|S
0.883909 (ADVP)(VB)(ADVP)|VP
0.883909 (ADVP)(VB)(CC)(VB)(SBAR)|VP
0.883909 (ADVP)(VBD)(PP)|VP
0.883909 (ADVP)(VBG)(CC)(VBG)(NP)(PP)|VP
0.883909 (ADVP)(VBG)(CC)(VBG)(NP)|VP
0.883909 (ADVP)(VBN)|ADJP
0.883909 (ADVP)(VBN)(CC)(VBN)(NP)|VP
0.883909 (ADVP)(VB)(NP)(ADVP)|VP
0.883909 (ADVP)(VBN)(PP)(ADVP)|VP
0.883909 (ADVP)(VB)(NP)(PP)|VP
0.883909 (ADVP)(VBN)(PRT)(PP)(PP)|VP
0.883909 (ADVP)(VB)(``)(NP)(S)|VP
0.883909 (ADVP)(VB)(NP)(S)|VP
0.883909 (ADVP)(VB)(NP-TMP)|VP
0.883909 (ADVP)(VBP)(PRT)(PP)|VP
0.883909 (ADVP)(VB)(PRT)(NP)|VP
0.883909 (ADVP)(VB)(PRT)(PP)|VP
0.883909 (ADVP)(VB)(SBAR)|VP
0.883909 (ADVP)(VBZ)(NP)(SBAR)|VP
0.883909 (ADVP)(VBZ)(PP)(SBAR)|VP
0.883909 (ADVP)(VBZ)(SBAR)(PP)|VP
0.883909 (ADVP)(VBZ)(VP)|VP
0.883909 (ADVP)(VP)(CC)(VP)|VP
0.883909 (ADVP)(VP)(PP)|S
0.883909 (,)(ADVP)(,)(VP)|S
0.883909 (ADVP)(,)(VP)|S
0.883909 (ADVP)(VP)(.)|S
0.883909 (ADVP)(VP)(,)(VP)|VP
0.883909 (ADVP)(WRB)|WHADVP
0.883909 (CC)(ADVP)(.)|FRAG
0.883909 (CC)(ADVP)(NP)(VP)|S
0.883909 (,)(CC)(ADVP)(PP)|PRN
0.883909 (CC)(ADVP)(,)(SBAR)(NP)(VP)(.)|S
0.883909 (CC)(,)(NP)(ADVP)(VP)(.)|S
0.883909 (CC)(NP)(ADVP)(VP)|S
0.883909 (CC)(NP)(CC)(NP)|NP
0.883909 (CC)(NP)|FRAG
0.883909 (CC)(NP)|PRN
0.883909 (:)(CC)(,)(NP)(-RRB-)|PRN
0.883909 (CC)(PP)|FRAG
0.883909 (CC)(,)(PP)(NP)(VP)(.)|S
0.883909 (CC)(PP)(,)(S)(VP)(.)|S
0.883909 (CC)(RB)|ADVP
0.883909 (CC)(SBAR)(,)(NP)(ADVP)(VP)(.)|S
0.883909 (CC)(,)(SBAR)(,)(NP)(VP)(.)|S
0.883909 (CC)(,)(SBAR)(NP)(VP)(.)|S
0.883909 (CC)(SBAR)(,)(S)(CC)(S)(.)|S
0.883909 (,)(CC)(S)(,)|PRN
0.883909 (CC)(S)(,)(S)(CC)(S)(.)|S
0.883909 (CC)(VBP)(NP)(VP)(.)|SINV
0.883909 (CC)(VP)(,)(VP)|VP
0.883909 (CD)(CC)(CD)|QP
0.883909 (CD)(JJR)|NP
0.883909 (CD)(NNS)|NP-TMP
0.883909 (CD)|NP-TMP
0.883909 (CD)(TO)(CD)|QP
0.883909 (,)(CONJP)(ADJP)(,)|PRN
0.883909 (CONJP)(MD)(NP)(VP)|SINV
0.883909 (CONJP)(PP)(,)(CC)(PP)|PP
0.883909 (CONJP)(SINV)(,)(CC)(S)(.)|S
0.883909 (CONJP)(SINV)(,)(S)(.)|S
0.883909 (CONJP)(VP)(CONJP)(VP)|VP
0.883909 (DT)(ADJP)(JJ)(NNS)|NP
0.883909 (DT)(ADJP)(NNP)(NN)|NP
0.883909 (DT)(ADJP)(NNS)(NN)(NN)|NP
0.883909 (DT)(CC)(DT)|ADJP
0.883909 (DT)(CD)(NN)(NN)(NN)|NP
0.883909 (DT)(DT)(NN)(NN)|NP
0.883909 (DT)(IN)|ADVP
0.883909 (DT)(JJ)|ADJP
0.883909 (DT)(JJ)(CC)(NN)(NN)(NN)|NP
0.883909 (DT)(JJ)(JJ)(JJ)(NN)(NN)|NP
0.883909 (DT)(JJ)(,)(JJ)(,)(JJ)(NN)|NP
0.883909 (DT)(JJ)(JJ)(JJ)(NN)|NP
0.883909 (DT)(JJ)(JJ)(NN)(NN)(NNS)|NP
0.883909 (DT)(JJ)(,)(JJ)(NN)(NN)|NP
0.883909 (DT)(JJ)(JJ)(NN)(NNS)|NP
0.883909 (DT)(JJ)(,)(JJ)(NNS)|NP
0.883909 (DT)(JJ)(JJ)(NN)(S)|NP
0.883909 (DT)(JJ)(JJ)|NP
0.883909 (DT)(JJ)(NN)(CC)(NN)(NN)(NN)|NP
0.883909 (DT)(JJ)(NN)(NN)(NNS)(NN)|NP
0.883909 (DT)(JJ)(NN)(NN)(NNS)|NP
0.883909 (DT)(JJ)(``)(NN)('')|NP
0.883909 (DT)(JJ)(NNP)(NN)(NNS)|NP
0.883909 (DT)(JJ)(NNP)(NNP)(NN)(NN)|NP
