#### p(f|japanese)/p(f|english)
0.791968 (()((())()(()()))())
0.791968 (()((())()()(()())()))
0.791968 (()(()((()(()((()())(()(()()()))))))))
0.791968 (()(()((()(()((()())(()(()()))))))))
0.791968 (()(()((()(()((())(()(()(()(()))))))))))
0.791968 (()(()((()(()(()((())(()))))))))
0.791968 (()(()((()())(()((()()())()(()()))))))
0.791968 (()(()((()())(()(()()())))(()(()))))
0.791968 (()(()((())(()(())(()(()(()((()())(()(()()))))))))))
0.791968 (()(()((())()(()()()()))))
0.791968 (()(()(()((()(()((()())(()(()()())))))))))
0.791968 (()(()(()((()(()(()((())(())))))))))
0.791968 (()(()(()((()())()(()()()())))))
0.791968 (()(()(()(()()()()()()))))
0.791968 (()(()(()(()()())())))
0.791968 (()(()(()()((()(()(())(()(()()))))))))
0.791968 (()(()()())(()((()()())(((())(()))))))
0.791968 (()(()())((()(()(())(()())))))
0.791968 (()(()())()(()(()(()))))
0.791968 (()(())((()()())(()(()))))
0.791968 (()(())(()((()()()())(()(()())))))
0.791968 (()(())(()((()()())())))
0.791968 (()()((()(()((()())(()((()(())))))))))
0.791968 (()()((()(()()()()))))
0.791968 (()()((()())(()(()()()()))))
0.791968 (()()(()(()()(()(()())))))
0.791968 (()()(()()())())
0.791968 (()()()(())())
0.792703 (()(())(()()()))
0.796509 ((()((()(()(()(())))))))
0.796509 ((()(()())(()(()()()))))
0.796509 ((()(()))()(()))
0.796509 ((()()()())()(()()))
0.796509 ((()()())((())((()(())))))
0.796509 ((()())((())((()(()(()()()))))))
0.796509 ((()())(()(()()()()()())))
0.796509 ((())((())((()())(()(())))))
0.796509 ((())(()(()(()())())))
0.796509 ((())()())
0.796509 (()((()((()())(()(()()))))))
0.796509 (()((()())(()((()(()()()))))))
0.796509 (()((()())(()()())))
0.796509 (()((())((()(())))))
0.796509 (()((())(()((()()())(()(()))))))
0.796509 (()((())()(()()()())))
0.796509 (()(()((()())(()(()(()()))))))
0.796509 (()(()(()((()())(()(()()()()))))))
0.796509 (()(()()())(()((()))))
0.796509 (()(()())(()(()(()()))))
0.796509 (()()((())(()(()()()))))
0.796509 (()()(()((()))))
0.797473 (()(()((()())(()(()()())))))
0.799632 ((()(())(()(()()))))
0.800268 (((()(()(()())))))
0.800268 (()((())(()()())))
0.80343 ((()())(()(()(()(())))))
0.80343 ((())(()(()())(())))
0.806129 ((()()())(()(()(()))))
0.808458 (()((()()())(())))
0.809008 (((())(())))
0.809008 (()(()((()()())(()(()())))))
0.813816 (((()())())(()))
0.813816 (((())(())(())))
0.813816 ((()((()()()())(()(()())))))
0.813816 ((()((()()()())(()(())))))
0.813816 ((()((())()(()()))))
0.813816 ((()(()((()(()()()()))))))
0.813816 ((()(()((()()())(()(()()()()))))))
0.813816 ((()(()((()())(((())(()(()))))))))
0.813816 ((()(()((())((()(())))))))
0.813816 ((()(()(()(()))(()(())))))
0.813816 ((()(()(())(()((())(()(()())))))))
0.813816 ((()(()()()())(()(()))))
0.813816 ((()(()())(()(()(()())))))
0.813816 ((()(()()))()(()(())(())))
0.813816 ((()(())(()(()())))()(()(()())))
0.813816 ((()(()))()(()(())(())))
0.813816 ((()()(()(()(())))))
0.813816 ((()()()())(()((())(()(()())))))
0.813816 ((()()()())(()(()()()())))
0.813816 ((()()())(()((()(()()())))))
0.813816 ((()()())(()((()(()())(()(()))))))
0.813816 ((()()())(()((()()())(()(())))))
0.813816 ((()()())(())(()))
0.813816 ((()()())()(()())()(()()))
0.813816 ((()())(((())(()(()(()()()))))))
0.813816 ((()())((())((()(()(()(()()())))))))
0.813816 ((()())(()((()()()()())(()(())))))
0.813816 ((()())(()((()())()(()))))
0.813816 ((()())(()(()((()())(()(()()()))))))
0.813816 ((()())()((()()())(()(()()))))
0.813816 ((())((()((()())(()())))))
0.813816 ((())((()(()((()(()(()))))))))
0.813816 ((())((()(()(()(()()()()))))))
0.813816 ((())((()()(()(()(()))))))
0.813816 ((())(()((()())(()(()()()())))))
0.813816 ((())(()(()((())((())(()(())))))))
0.813816 ((())(()(()(()(()((()())(()(()()))))))))
0.813816 ((())(()(())(()()()())))
0.813816 ((())(()())(()(())))
0.813816 ((())()((())()(())))
0.813816 ((())()(())()()(()()))
0.813816 (()(((()(()))()(()(()(()()))))))
0.813816 (()((()(()((()()())(()(()()()())))))))
0.813816 (()((()(()((())((())(())))))))
0.813816 (()((()(()(()((()())(()(()()))))))))
0.813816 (()((()(()(()((())(())))))))
0.813816 (()((()(())())(()(()()))))
0.813816 (()((()()()())(()((())(()(()()))))))
0.813816 (()((()()())()(()())()(()())))
0.813816 (()((()())((())((()(()(()(()()()))))))))
0.813816 (()((()())(()((()())(()(()(())))))))
0.813816 (()((())((())((()((()(()))))))))
0.813816 (()((())(()(()(()((()()())(()(()))))))))
0.813816 (()((())()(())()()(()())))
0.813816 (()((())()()))
0.813816 (()(()((()()()())(()(()()())))))
0.813816 (()(()((()()())((())((()(()(()(())))))))))
0.813816 (()(()((()()())(()((()())(()(()())))))))
0.813816 (()(()((()()())()(()))))
0.813816 (()(()((()())(()((()(()()())))))))
0.813816 (()(()((()())(()(()()()()()())))))
0.813816 (()(()((()())(()()()))))
0.813816 (()(()(()(()((()()())(()(()())))))))
0.813816 (()(()(()()()()))(()(())))
0.813816 (()(()(()()()))(()((())(()(()())))))
0.813816 (()(()(())((()())())))
0.813816 (()(()()((()(()(())(()()))))))
0.813816 (()(()()())((())((())(()(()(()))))))
0.813816 (()(()()())(()((()())(()(()(()))))))
0.813816 (()(()())((()())(()(()))))
0.813816 (()(()())(()((()())()(()()()))))
0.813816 (()(())(()((()()())()())))
0.813816 (()(())(()((()())(()(()(()()))))))
0.813816 (()()((()(()(()((()(()))))))))
0.813816 (()()(())(()(()(()(()())))))
0.816298 ((()(()((())))))
0.816298 ((()(()(()(()(()()()))))))
0.816298 ((()()()())(()(()(()))))
0.816298 ((()())(()()(()()())))
0.816298 ((())(()(()()((()(()(())))))))
0.816298 (()((()())(()((()())(()(()()()))))))
0.816298 (()((())(()((())()(()())))))
0.816298 (()(()((()()()())(()(()())))))
0.816298 (()(()(()(()()))(()(()()))))
0.816298 (()(()(())(()((()()())(()(()()))))))
0.816298 (()()(()()()()))
0.818353 ((()(()((()())()))))
0.818353 (()(()((()(()(())(()(()())))))))
0.818353 (()(())(()((()())(()(()()())))))
0.820082 ((()(()(()(()(()))))))
0.820082 ((())(())(()))
0.820082 (()(()(()()))(()(()())))
0.82283 ((()())(()((())(()))))
0.826555 (()((()(()(())(()(()()))))))
0.835663 (((()(()))()(()(()(()())))))
0.835663 (((())(()(()(()(()())))((()(()(()())))))))
0.835663 (((())()(())))
0.835663 ((()(()((()()()())(()(()()))))))
0.835663 ((()(()(()((()()())(()(()())))))))
0.835663 ((()(()(()(()((()())(()(()))))))))
0.835663 ((()(()(())((()(()(()())))))))
0.835663 ((()(()()))()(()))
0.835663 ((()(())(()()())))
0.835663 ((()(())())(()(()())))
0.835663 ((()()(()(()(()())))))
0.835663 ((()()())(()((()(()())))))
0.835663 ((()())((())))
0.835663 ((()())(()((()(()()()())))))
0.835663 ((()())(()((()()())())))
0.835663 ((()())(()((()())(()(()(()))))))
0.835663 ((()())(()(())(()(()(()())))))
0.835663 ((()())()((()()())(()(()))))
0.835663 ((())((()())(()()(()))))
0.835663 ((())(()((()())(((()(()(()())))))))())
0.835663 ((())(()(())(()((())))))
0.835663 ((())(()()())(()))
0.835663 ((())()(()()())())
0.835663 ((())()(())(()(()()())))
0.835663 (()(((())(()(()(()(()())))((()(()(()()))))))))
0.835663 (()((()(()((())(()(()(()()()))))))))
0.835663 (()((()(()((()))))))
0.835663 (()((()(()(())((()(()(()()))))))))
0.835663 (()((()(()())(()))))
0.835663 (()((()(()())())(()(()()()))))
0.835663 (()((()(())(()(()()())))))
0.835663 (()((()())(()((()()())()))))
0.835663 (()((()())(()(()()()()()()))))
0.835663 (()((()())()(()()()())))
0.835663 (()((())((())((()())(()(()))))))
0.835663 (()((())((())(()(()(()(())))))))
0.835663 (()((())(()((()()())(())))))
0.835663 (()((())(()((()())()(()()())))))
0.835663 (()((())(()(()(()(()((()())(()(())))))))))
0.835663 (()((())(()(()(()(()()))((()(()(()()()))))))))
0.835663 (()((())(()()())(())))
0.835663 (()((())()()(())))
0.835663 (()(()((()())(((())(()(())))))))
0.835663 (()(()((()())(()((()()())(()(())))))))
0.835663 (()(()((()())()(()()()()))))
0.835663 (()(()((())(()(()(()(()((()())(()(()))))))))))
0.835663 (()(()((())(()(()(()(()()))((()(()(()()())))))))))
0.835663 (()(()((())(()(()())))(()(()))))
0.835663 (()(()(()(()())))(()(()())))
0.835663 (()(()(()()(()(()())))))
0.835663 (()(()()()(()()())))
0.835663 (()(()()())(()((()()())(()(())))))
0.835663 (()(())((()())(()(()()()))))
0.835663 (()()((()(()(()())(()(()))))))
0.835663 (()()(()((()())(()(()()())))))
0.836087 ((()(()((()(()(()())))))))
0.836087 ((())(())(()(()(()())))())
0.836087 (()((())(()(()()()()()))))
0.836087 (()(()((()())()(()))))
0.836087 (()()((()(()(()(()()()))))))
0.836438 (()((()()())(()(()(())))))
0.837393 (()((()())()(())))
0.837839 ((()(())(()(()))))
0.850845 ((())(()(()((()(()))))))
0.851576 ((()((())(()(())))))
0.852083 (()(())(()(()()())))
0.854523 ((()((()())(()(()())))))
0.854523 (()((())((()(()(()()))))))
0.855876 ((()())(())(()(()())))
0.855876 ((())(()((())(()()))))
0.855876 ((())(()(()(())(()(()()())))))
0.855876 (()(()((())(()(()(()(()())))((()(()(()()()()))))))))
0.855876 (()(()(()((())(())))))
0.855876 (()(()(()()((()(()(()())))))))
0.855876 (()(()())((()(()(()())))))
0.855876 (()(())((()())()))
0.857511 (((()()())(()(())))(()(())))
0.857511 (((())(()(()((()(())))))))
0.857511 (((())(()(()(()(()(()())))))))
0.857511 ((()(()((()()())(()(()()()))))))
0.857511 ((()(()((())(()(()(()()())))))))
0.857511 ((()(()(()((()(()(()))))))))
0.857511 ((()(()(()((()()())(()(())))))))
0.857511 ((()(()(()((()())(()(()())))))))
0.857511 ((()(()(()((())(()))))))
0.857511 ((()(()(()(()()))(()(()())))))
0.857511 ((()()())(((())(()(())))))
0.857511 ((()())(()(()(()(()()())))))
0.857511 ((())((()(()(()())(()(()()))))))
0.857511 ((())(()(()((()(())))))())
0.857511 ((())(()(()((())(()(()()()))))))
0.857511 ((())(()()(())(())))
0.857511 ((())(())(()(()(()(())))))
0.857511 (()(((())(()(()(()(()(()()))))))))
0.857511 (()((()((())(()(()))))))
0.857511 (()((()()())((())((()(()(()(()))))))))
0.857511 (()((()()())(()(())))(()(()())))
0.857511 (()((()())(()((()()())(()(()))))))
0.857511 (()((()())(()(()()())))(()(())))
0.857511 (()((())((())((())(()(()()))))))
0.857511 (()((())(()((())(()())))))
0.857511 (()((())(()(()((()))))))
0.857511 (()((())(()(()())))(()(())))
0.857511 (()((())()(()())()))
0.857511 (()(()((()()())(()(()(()()))))))
0.857511 (()(()((()())()(()()()))))
0.857511 (()(()(()((()(()(()(()))))))))
0.857511 (()(()(()((()(())(()))))))
0.857511 (()(()(()((()()())(()(()()()))))))
0.857511 (()(()(()(()((()())(()(()())))))))
0.857511 (()(()(()()()())(()(()))))
0.857511 (()(()(()()))(()((())(()(()())))))
0.857511 (()(()(()()))())
0.857511 (()(()(())(()((())(()(()()))))))
0.857511 (()(())((())))
0.857511 (()()((())(())))
0.857511 (()()(())(()(()())))
0.857511 (()()()(()()()))
0.862844 ((()())()(()()()))
0.864297 (()((()())(()(()(()()())))))
0.865948 ((()(()((()())(()(()()))))))
0.870037 ((()())(((())(()(())))))
0.871276 (()(()(()())(()(()()))))
0.871692 (()(()((())(()(()()())))))
0.87254 ((()(()(())(()(()())))))
0.872609 ((()(()()))()(()(())))
0.872609 ((()())((())((()(()(()))))))
0.873481 (()(()()())(()(()())))
0.875487 ((()())(()((()())(()(()())))))
0.875666 ((()()())(()((())(()(())))))
0.875666 (()((())(()(()(()()()())))))
0.875666 (()((())(()()(()(())))))
0.875666 (()(()(()()()()()())))
0.877564 (()(()()()))
0.877567 (()(()(()()()())))
0.879358 ((()((()(()(()()()))))))
0.879358 ((()(()(()()())(()(()()())))))
0.879358 ((()(()())(())))
0.879358 ((()(()))())
0.879358 ((()()())((())((()(()(()(())))))))
0.879358 ((()()())(()()(()())))
0.879358 ((()())(()((())(()(()(()()))))))
0.879358 ((()())(())(()(())))
0.879358 ((()())()()(()))
0.879358 ((())(((())(()(())))))
0.879358 ((())((()(()(()()()())))))
0.879358 ((())((())((())(()(()())))))
0.879358 ((())((())(()((()(()(()())))))))
0.879358 ((())(()((()())()(()()()))))
0.879358 ((())(()(()((())))))
0.879358 ((())(()(()(()(()())))((()(()(()()))))))
0.879358 ((())()(()())(()(()))())
0.879358 (()((()(()(()(()()()()))))))
0.879358 (()((()(()()())(()(()())))))
0.879358 (()((()()())(()((())(()(()))))))
0.879358 (()((()())(((()(()(()())))))))
0.879358 (()((()())(((())(()(()(())))))))
0.879358 (()((()())((())((()(()(()(()()))))))))
0.879358 (()((()())()()(())))
0.879358 (()((())(()(()((())(()(()())))))))
0.879358 (()(()(()(())))(()(()())))
0.879358 (()(()(()()()))(()(()())))
0.879358 (()(()(()())((()(()(()))))))
0.879358 (()(()(())(()((()())(()(()()()))))))
0.879358 (()(()()((()(()((()())(()(()))))))))
0.879358 (()(()())((()(()(()()())))))
0.879358 (()()((()(()(()()()())))))
0.882976 (()(()((()))))
0.883909 ((((()((()(()(()(()()())())(()((())(()((((()(()(()()))))(()((()())(((()())(()(()(()))))))))))))))))()(()(())(())(()(())))))(()(())(()((()(()(()()))))))())
0.883909 ((((()((()()())(()((())((()(()(()())(()(()())))))))))))()()(((()())(()(())))((())(()(()(())(()(()()())))))))
0.883909 ((((()((()()())(()(()))))()(()(()()))))(()(()(()()))))
0.883909 ((((()((()())(()(()()())))))(()((())(())(()((())(()(()(()()()))))))))()()((())(()()))())
0.883909 ((((()(()((()(()(()))))))(()()())(()(()()))))(()(()()())((())((()(())))))())
0.883909 ((((()(()((()())(()(())))))()(()(()(()()()))()((()((()(()(()(()))))))))))(()(()(()(()))))())
0.883909 ((((()(()((()())()((()())(()(()))))))()(())))(()(((()())(()((())((())(()(()((())(()(()()()))))))))))))
0.883909 ((((()(()(()(()))))()(()(()()()))))(()(())(()((()()())(()()))))())
0.883909 ((((()(()(()()()))))(()()(())))()()((())(()((()(()((()())()((()(()(()()()))))))))))())
0.883909 ((((()(()(()())(()(()())))))()(())(()(()((())(()(()(()())(())))))))()((()())(()((()()())(()(())))))(()(()(()()())))())
0.883909 ((((()(()(()())))()(()(()()())(()(()())))))(()(()()((()(()(()))))))())
0.883909 ((((()(()(()()))))(()((()())(((()())(()(()(())))))))))
0.883909 ((((()(()(())((()(()))()()(()((()()())(()(()()))))()))))(()((()((())()(())((()(()(()(()()))(()(()()))))))))))()((()()())(()))())
0.883909 ((((()(()(())))(()(()))))((())(()(())(()(())((()(())))))()))
0.883909 ((((()(()(())))())()((()(()()))()(()(()()()()))))())
0.883909 ((((()(()()((()(()(()()()()))))))(()())(()(()))))((()(()((()(())())(()(()())))))()()(()(()(()((())(()((())()(())()()(()()))))))))())
0.883909 ((((()(()()()()()()()))()()(()((())((()(()(()())))))))()(()(())(()(()()())))))
0.883909 ((((()(()())(()(()())))()(()(()()))()(()(())(()((()))))))()((()())(()(()(()((()()()()())()(()())()(()()()))))))())
0.883909 ((((()(()())())(()(()()())))(()(())(()(()()()((()(()(()((()())(()(()()(()(())))()(()((())(()(())))))))))))))))
0.883909 ((((()(()()))()(()))()()())((()()())()))
0.883909 ((((()(())(()(()()))))(()()(()((())((())((()(()((()(()(()))))))))))))()(())(()(())(()(((()())())()(()()))))())
0.883909 ((((()(())(()(()))))(()(()()())(()((()()()())(()(()))))))()((())(()((()())(()(()((()(()))))))))())
0.883909 ((((()(()))(()(()))()(()(()))()(()()())(()(()((())(()(()(()(()((())((()())(()((()())(()(()()()))))))))))))))()((())(()((())(()())((()(()(()(()()))))))))))
0.883909 ((((()(()))()(()(())(()((()((())(()(()()())))))))))(()(())((()()())(()(()))))())
0.883909 ((((()(()))()(()(()))))(()((()()())(()(()()()))))())
0.883909 ((((()(()))()(()(()))))()(()()()())(()(())((())(()(()())))(()((())(()((()(())))))))())
0.883909 ((((()(())))(()(()((())()((())((())(()((())(()(()))))))))))()((()())(()(()((())(()(()((()()())(()(())))(()(((()()())(()(())))(()(())))))))))))
0.883909 ((((()(())))()((()()(())(()(()())))))()()((())(()((()())(()((()()())(((())(()(()((())((())(()(()(()()))))))))))))))())
0.883909 ((((()()()()())())(()(()(()(()(()())))))))
0.883909 ((((()()()())(()(()(()()()()))((()(()(()()))))))(()(())(()((()()())(()(())))(()(()()()()))))))
0.883909 ((((()()()())()(()()()))(()()(()((()()(())(()(()((()))))))))))
0.883909 ((((()()())((())((()())(()(()(()()))))))(()(()((())((()()())(()(()()()))))))))
0.883909 ((((()()())(()(()()())))()((())(()((())(()(()()))))))()((()())(()(()))))
0.883909 ((((()()())(()(()())))(()(()((())(()(()()))))))()((())()(()(())(()(()))))())
0.883909 ((((()()())(()(())()))(()((()()())(()(()())))()((()(())((()(()(()()()()))))))))(()(())(()(()()()())(()(()())))))
0.883909 ((((()()())(()(())))(()((()())(()(())))()(()((())(()(())(()(()()((()(()(()()())(())((()(()(()()))))))))))())))))
0.883909 ((((()()())(()(())))(()(())(()(()((()(()(())))))))))
0.883909 ((((()()())(()(())))(()(())))()((())(()(()))))
