#### p(f|japanese)/p(f|english)
0.736594 VP(()(()()())(()(()()())))
0.736824 VP(()(()()()())(()(()())))
0.737141 PP(()((()()())(((())(())))))
0.737141 PP(()((()())(()((()()())()(()())))))
0.737141 PP(()((()())()()))
0.737141 PP(()((())((())((()(()(()(()))))))))
0.737141 PP(()((())(()(()()()()()))))
0.737141 S((()(())((()(()(()))))))
0.737141 S((())(()(()(()((()()())(()(())))))))
0.737141 VP(()(()((())()(()((()())(()(()())))))))
0.737141 VP(()(()(()(()(()())()))))
0.737141 VP(()(()()()()()()()))
0.737141 VP(()(()()())(()((()())(()(()())))))
0.737141 VP(()(()())(()((()()())(()(())))))
0.737141 VP(()(())(()(()(()(()())))))
0.737141 VP(()(())(()(()()()()())))
0.744415 PP((())()(()))
0.744415 PP(()((()()())(()(()()()))))
0.746012 NP((()())((())((()(()(()(()())))))))
0.746012 PP(()((())(()(()()()()))))
0.746012 S((())(()()()))
0.746012 VP(()(()()()())(()(())))
0.749062 ADVP(()(()(()())))
0.749383 SBAR((())((()(()(())))))
0.753476 S((()(()((()(()(())))))))
0.753476 S((()(()(()(()()()())))))
0.756472 VP(()(()((()())(()(()()())))))
0.75668 NP((()())(()((()(())))))
0.75693 ADJP(()()()()())
0.75693 NP((()()())()((()())(()(()))))
0.75693 NP((()())((())((()((())(()(())))))))
0.75693 PP(()((()(()((()())(()(()())))))))
0.75693 PP(()((()())(()()())))
0.75693 S((()(()((())((())(()))))))
0.75693 S((())(())(()(()(()))))
0.75693 S((())(())())
0.75693 SBAR(()((()()())(())))
0.75693 VP(()((()())(()((()(()()()))))))
0.75693 VP(()((())(()(()(()(()()()))))))
0.75693 VP(()(()(()((()(()()()))))))
0.75693 VP(()()(()((()))))
0.759843 NP((())(()(()(()()))))
0.760286 VP(()(()((()())(()(()())))))
0.764097 NP(()()((()(()(())(()(()()))))))
0.764097 PP(()((()(()())(()(())))))
0.764097 PP(()((())(()(()(()())))))
0.764097 VP(()((()()())(()(()()()()))))
0.764097 VP(()(()((())((())(())))))
0.76534 VP((())()(()))
0.770132 NP((()())(()((()())(()(()())))))
0.772872 VP(()((()())(()(()()()))))
0.773705 NP((()())()(()))
0.774047 DT()
0.774347 SBAR((())((()(()(()(()))))))
0.775272 S((()(()())(()(()))))
0.776719 NP((()(()())())(()(()()())))
0.776719 NP((()())(()((()()())()(()()))))
0.776719 NP((()())()(()()()()))
0.776719 PP(()((()())(()(()(()()())))))
0.776719 PP(()(()(()()())()))
0.776719 S((()((()())(()(()()())))))
0.776719 VP(()((()()())(()(()(()())))))
0.776719 VP(()((())((()(())))))
0.776719 VP(()(()((())((()(()))))))
0.776719 VP(()(()((())(()()))))
0.776719 VP(()(()(()(()))(()(()))))
0.776719 VP(()(())((()(()(()(()()))))))
0.778084 VP(()(()(()(()(()()())))))
0.778084 WHPP(()(()))
0.782182 PRN(()(())())
0.782182 VP(()((())(()(()(()()())))))
0.782182 VP(()(())((()())(()(()()))))
0.78368 TO()
0.786779 ADJP(()(()((()())(()(())))))
0.786779 PP(()((()()()())(()(()))))
0.786779 S((()()))
0.786779 S((())(()(()(()())(()(()())))))
0.786779 S((())(()(()())(())))
0.786779 VP(()((()())(()((()(()))))))
0.790008 VP(()(()(())(()())))
0.791968 ADJP((()())()())
0.791968 ADJP(()(()((()(()()()())))))
0.791968 ADJP(()()(()((()())(()(()()())))))
0.791968 ADVP((()())(()((())(()(()()())))))
0.791968 ADVP((())()(()))
0.791968 FRAG(((())()(()()))())
0.791968 NP(((()())(()(())))()((())(()(()))))
0.791968 NP(((()())()()())(()(())))
0.791968 NP((()(()())()())(()(())))
0.791968 NP((()()()()())(()(()())))
0.791968 NP((()()()())(()(()()()())))
0.791968 NP((()()())(()((()())()())))
0.791968 NP((()()())(()(())()(()(()()))))
0.791968 NP((()()())()(()(()))())
0.791968 NP((()())(((())(()(()((()(()))))))))
0.791968 NP((()())(((())(())(()))))
0.791968 NP((()())(()((()()()())(()(()())))))
0.791968 NP((()())(()((()()())())))
0.791968 NP((()())(()((())((()(()(()())))))))
0.791968 NP((()())()(()()()())())
0.791968 NP((())((())((()(()((()(()(())))))))))
0.791968 NP((())((())((()()(()(()(())))))))
0.791968 NP((())(()((()()())(()))))
0.791968 NP((())(()((())(()()))))
0.791968 NP((())(()((())()(())()()(()()))))
0.791968 NP((())(()())(()(())))
0.791968 NP(()((())()()(()())()))
0.791968 NP(()()(()()())())
0.791968 PP(()(((()())())(()(()))))
0.791968 PP(()((()((()()()())(()(()()))))))
0.791968 PP(()((()((()()())(()(()()()))))))
0.791968 PP(()((()(()()()())(()(())))))
0.791968 PP(()((()(())(()()()))))
0.791968 PP(()((()()())(()(()(()())))))
0.791968 PP(()((()())(((())(()(()((()(())))))))))
0.791968 PP(()((()())(((())(()(()(())))))))
0.791968 PP(()((()())(()((()())()(())))))
0.791968 PP(()((()())()(()()()())))
0.791968 PP(()((())((()()())(()(())))))
0.791968 PP(()((())((())((())(()(()()))))))
0.791968 PP(()((())((())(()(()(()(())))))))
0.791968 PP(()((())(()((()()())(())))))
0.791968 PP(()((())(()((())()(())()()(()())))))
0.791968 PP(()((())()(())()()(()())))
0.791968 PP(()((())()))
0.791968 PP(()(()(()()()())()))
0.791968 PP(()()((()(()()()()))))
0.791968 PRN(()()()(())())
0.791968 S(((())(())(()(()(()()))))()(())(()(()(()(()()()()))))())
0.791968 S((()((()()())(()(()(()()))))))
0.791968 S((()(()((()()())(()((()())(()(()))))))))
0.791968 S((()(()((()())(()((()(()))))))))
0.791968 S((()(()((()())(()(()()())))(()(())))))
0.791968 S((()(()((())(()(()(()(()))))))))
0.791968 S((()(()(()((()(())(())))))))
0.791968 S((()(()(()(()(()()()()))))))
0.791968 S((()(()(()()())))()(())(()(()(()())))())
0.791968 S((()(()(()()())))()(())(()(()()))())
0.791968 S((()(()()((()(()(())(()())))))))
0.791968 S((()(()()(()(())))))
0.791968 S((()(()()())(()((())))))
0.791968 S((()(()()())(()(()()()()))))
0.791968 S((()(())(()(()(()()())))))
0.791968 S((())(()(((())(()(()(()(()())))((()(()(()()))))))))())
0.791968 S((())(()(()((())(()(()(()(()((()())(()(()))))))))))())
0.791968 S((())(()(()((())(()(()(()(()(()()))))))))())
0.791968 S((())(()(())(()(()(()((()())(()(()()))))))))
0.791968 S((())(()()())((()(()(()(()()()))))))
0.791968 SBAR((())((()(()((()(()()()())))))))
0.791968 SBAR((())((()(()((()())())))))
0.791968 SBAR((())((()())(()(()(()(()()))))))
0.791968 SBAR((())((()())(()(()()()()))))
0.791968 SBAR((())((())(()(()())(()))))
0.791968 SBAR(()((())(()(()(()(()((()())(()(()())))))))))
0.791968 SBAR(()((())(()(())(()(()(()((()())(()(()())))))))))
0.791968 UCP((()(()()))()(()))
0.791968 UCP(()(())()(()(()())))
0.791968 VP((()(())))
0.791968 VP((())()(()(()(()()))))
0.791968 VP(()((()(()((()()())(()(()()()())))))))
0.791968 VP(()((()(()(()(()))(()(()))))))
0.791968 VP(()((()(())(()(()())))()(()(()()))))
0.791968 VP(()((()()())(()((()())(()(()()()))))))
0.791968 VP(()((()())(()(()((()())(()(()()())))))))
0.791968 VP(()((())(()()())((()(()(()(()()())))))))
0.791968 VP(()((())()()(())))
0.791968 VP(()(()((()(()((()())(()(()()()))))))))
0.791968 VP(()(()((()(()((()())(()(()()))))))))
0.791968 VP(()(()((()(()((())(()(()(()(()))))))))))
0.791968 VP(()(()((()(()(()((())(()))))))))
0.791968 VP(()(()((()())(()((()()())()(()()))))))
0.791968 VP(()(()((()())(()(()()())))(()(()))))
0.791968 VP(()(()((())(()(())(()(()(()((()())(()(()()))))))))))
0.791968 VP(()(()((())()(()()()()))))
0.791968 VP(()(()(()((()(()((()())(()(()()())))))))))
0.791968 VP(()(()(()((()(()(()((())(())))))))))
0.791968 VP(()(()(()((()())()(()()()())))))
0.791968 VP(()(()(()(()()()()()()))))
0.791968 VP(()(()(()(()()())())))
0.791968 VP(()(()(()()((()(()(())(()(()()))))))))
0.791968 VP(()(()()())(()((()()())(((())(()))))))
0.791968 VP(()(()())((()(()(())(()())))))
0.791968 VP(()(()())()(()(()(()))))
0.791968 VP(()(())((()()())(()(()))))
0.791968 VP(()(())(()((()()()())(()(()())))))
0.791968 VP(()(())(()((()()())())))
0.791968 VP(()()(()(()()(()(()())))))
0.792703 VP(()(())(()()()))
0.794085 PP(()((()(()()()()))))
0.796509 ADVP(()(()))
0.796509 NP((()()()())()(()()))
0.796509 NP((()()())((())((()(())))))
0.796509 NP((()())((())((()(()(()()()))))))
0.796509 NP((()())(()((()(()(()()))))))
0.796509 NP((()())(()(()()()()()())))
0.796509 NP((()())(()()(()()())))
0.796509 PP(()((())()(()()()())))
0.796509 PP(()(()()((()(()(()))))))
0.796509 S((()((()(()(()(())))))))
0.796509 S((()(()())(()(()()()))))
0.796509 SBAR(()((()())(()((()(()))))))
0.796509 VP((()(()))()(()))
0.796509 VP(()(()((()())(()(()(()()))))))
0.796509 VP(()(()((()())()(()))))
0.796509 VP(()(()(()((()())(()(()()()()))))))
0.796509 VP(()(()()())(()((()))))
0.796509 VP(()(()())(()(()(()()))))
0.799324 JJ()
0.799632 S((()(())(()(()()))))
0.799632 VP((())())
0.800268 ADJP((())()(()()))
0.800268 S((()())(()(()(()()()()))))
0.800268 SBAR(((()(()(()())))))
0.80343 S((()())(()(()(()(())))))
0.80343 VP((())()(()()))
0.80343 WP$()
0.806129 PP(()((()())()(())))
0.807359 NNS()
0.808458 NP(()(())())
0.809008 SBAR(((())(())))
0.812692 ADVP(()())
0.813816 ADJP(()(()((()()())(()(()())))))
0.813816 NP((()()()())(()((())(()(()())))))
0.813816 NP((()()()())(()(()(()))))
0.813816 NP((()()())(()((()(()()())))))
0.813816 NP((()()())(()((()(()())(()(()))))))
0.813816 NP((()()())(()((()()())(()(())))))
0.813816 NP((()()())()(()())()(()()))
0.813816 NP((()())(((())(()(()(()()()))))))
0.813816 NP((()())((())((()(()(()(()()())))))))
0.813816 NP((()())(()((()())(()(()(()))))))
0.813816 NP((()())(()((()())()(()))))
0.813816 NP((()())()((()()())(()(()()))))
0.813816 NP((()())()((()()())(()(()))))
0.813816 NP((())(()(()(()()()))))
0.813816 NP((())()(()(()())))
0.813816 NP((())()(())()()(()()))
0.813816 PP((()(()()))()(()(())))
0.813816 PP(()(((()(()))()(()(()(()()))))))
0.813816 PP(()((()(())(()(()()())))))
0.813816 PP(()((()()())(()(()()()()()))))
0.813816 PP(()((()()())()(()())()(()())))
0.813816 PP(()((()()())()()))
0.813816 PP(()((()())(()(()()()()()()))))
0.813816 PP(()((()())(()()(()()()))))
0.813816 PP(()((())((())((()((()(()))))))))
0.813816 PP(()((())((())(()(()(()))))))
0.813816 PP(()((())(()((()())()))))
0.813816 PP(()(()((())(()(())))))
0.813816 S((()((()()()())(()(()())))))
0.813816 S((()((()()()())(()(())))))
0.813816 S((()((())()(()()))))
0.813816 S((()(()((()(()()()()))))))
0.813816 S((()(()((()()())(()(()()()()))))))
0.813816 S((()(()((()())(((())(()(()))))))))
0.813816 S((()(()((())((()(())))))))
0.813816 S((()(()(()(()))(()(())))))
0.813816 S((()(()(())(()((())(()(()())))))))
0.813816 S((()(()()()())(()(()))))
0.813816 S((()(()())(()(()(()())))))
0.813816 S((()()(()(()(())))))
0.813816 S((()()())(())(()))
0.813816 S((())(()((()())(()(()()()())))))
0.813816 S((())(()(()((())((())(()(())))))))
0.813816 S((())(()(()(()(()((()())(()(()()))))))))
0.813816 S((())(()(())(()()()())))
0.813816 SBAR(((())(())(())))
0.813816 SBAR((())((()((()())(()())))))
0.813816 SBAR((())((()(()((()(()(()))))))))
0.813816 SBAR((())((()(()(()(()()()()))))))
0.813816 SBAR((())((()()(()(()(()))))))
0.813816 SBAR((())((()()())(()(()()))))
0.813816 SBAR(()((()()())(()(()()()))))
0.813816 VP((()(()()))()(()(())(())))
0.813816 VP((()(())(()(()())))()(()(()())))
0.813816 VP((()(()))()(()(())(())))
0.813816 VP((())(()(()())))
0.813816 VP((())()(())(()(()()())))
0.813816 VP(()((()(()(()((()())(()(()()))))))))
0.813816 VP(()((()())(()((()())(()(()(())))))))
0.813816 VP(()((())(()((())(()())))))
0.813816 VP(()(()((()()()())(()(()()())))))
0.813816 VP(()(()((()()())((())((()(()(()(())))))))))
0.813816 VP(()(()((()()())(()((()())(()(()())))))))
0.813816 VP(()(()((()()())()(()))))
0.813816 VP(()(()((()())(()((()(()()())))))))
0.813816 VP(()(()((()())(()()()))))
0.813816 VP(()(()(()(()((()()())(()(()())))))))
0.813816 VP(()(()(()()()()))(()(())))
0.813816 VP(()(()(()()()))(()((())(()(()())))))
0.813816 VP(()(()(())((()())())))
0.813816 VP(()(()()((()(()(())(()()))))))
0.813816 VP(()(()()())((())((())(()(()(()))))))
0.813816 VP(()(()()())(()((()())(()(()(()))))))
0.813816 VP(()(()())((()())(()(()))))
0.813816 VP(()(()())(()((()())()(()()()))))
0.813816 VP(()(())(()((()()())()())))
0.813816 VP(()(())(()((()())(()(()(()()))))))
0.813816 VP(()()((()(()(())))))
0.813816 WHNP((())(()(())))
0.815271 NP((())()(()))
0.816298 NP((())(()((()())(()(()()())))))
0.816298 NP((())()(()()()()))
0.816298 PP(()()(()()()()))
0.816298 S((()(()((())))))
0.816298 S((()(()(()(()(()()()))))))
0.816298 S((())(()(()()((()(()(())))))))
0.816298 SBAR(()()((()(()(()()())))))
0.816298 VP(()(()(()(()()))(()(()()))))
0.816298 VP(()(()(())(()((()()())(()(()()))))))
0.816298 VP(()(()()((()(()(())(()(()())))))))
0.818353 NP((())(()((()())(()(()())))))
0.818353 S((()(()((()())()))))
0.818353 VP(()(()((()(()(())(()(()())))))))
0.818353 VP(()(())(()((()())(()(()()())))))
0.820082 S((()(()(()(()(()))))))
0.820082 S((()(()())(()(()()))))
0.820082 S((())(())(()))
0.820082 VP(()((())((())(()))))
0.820082 VP(()(()(()()))(()(()())))
0.820542 PP(()((())(()(()()()))))
0.82394 NP((())(()(()()()())))
0.82507 NP((())(()(()()())))
0.825783 VP(()(()()()()()))
0.826555 S((()(())(()(()))))
0.835663 ADJP((()())()(()))
0.835663 ADJP(()(()((()(()()())))))
0.835663 NP((()(())())(()(()())))
0.835663 NP((()()())(()((()(()())))))
0.835663 NP((()()())(()(()(()))))
0.835663 NP((()())(()((()(()()()())))))
0.835663 NP((()())(()((()())())))
0.835663 NP((()())(()((())(()(()(()()))))))
0.835663 NP((())(()()())(()))
0.835663 NP(()()((()(()(()())(()(()))))))
0.835663 PP(()((()((())(()(()))))))
0.835663 PP(()((()(()()())(()(()())))))
0.835663 PP(()((()(()())(()))))
0.835663 PP(()((()()())(()((())(()(()()))))))
0.835663 PP(()((()()())(())))
0.835663 PP(()((()())(((())(()(()))))))
0.835663 PP(()((()())(()((()())(()(()()()))))))
0.835663 PP(()((())(()((())()(()())))))
0.835663 PRN(()(()(()()))())
0.835663 PRN(()(()))
0.835663 S(((()(()))()(()(()(()())))))
0.835663 S((()(()((()()()())(()(()()))))))
0.835663 S((()(()(()((()()())(()(()())))))))
0.835663 S((()(()(()(()((()())(()(()))))))))
0.835663 S((()(()(())((()(()(()())))))))
0.835663 S((()(())(()()())))
0.835663 S((()()(()(()(()())))))
0.835663 S((()())(()(())(()(()(()())))))
0.835663 S((())(()((()())(((()(()(()())))))))())
0.835663 S((())(()(()(()())())))
0.835663 S((())(()(())(()((())))))
0.835663 SBAR(((())(()(()(()(()())))((()(()(()())))))))
0.835663 SBAR((())((()())(()()(()))))
0.835663 SBAR(()((())(()(()(()(()((()())(()(())))))))))
0.835663 SBAR(()((())(()(()(()(()()))((()(()(()()()))))))))
0.835663 VP((()(()())))
0.835663 VP(()(((())(()(()(()(()())))((()(()(()()))))))))
0.835663 VP(()((()(()((())(()(()(()()()))))))))
0.835663 VP(()((()(()(())((()(()(()()))))))))
0.835663 VP(()((()(()())())(()(()()()))))
0.835663 VP(()((()()())((())((()(()))))))
0.835663 VP(()((())(()((()()())(()(()))))))
0.835663 VP(()(()((()())(((())(()(())))))))
0.835663 VP(()(()((()())(()((()()())(()(())))))))
0.835663 VP(()(()((()())()(()()()()))))
0.835663 VP(()(()((())(()(()(()(()((()())(()(()))))))))))
0.835663 VP(()(()((())(()(()(()(()()))((()(()(()()())))))))))
0.835663 VP(()(()((())(()(()())))(()(()))))
0.835663 VP(()(()(()(()())))(()(()())))
0.835663 VP(()(()(()()(()(()())))))
0.835663 VP(()(()()()(()()())))
0.835663 VP(()(()()())(()((()()())(()(())))))
0.835663 VP(()(())((()())(()(()()()))))
0.835663 VP(()(())()(()(()())))
0.836087 NP((())(()((()()())(()(())))))
0.836087 NP((())(()((())()(()()))))
0.836087 S((()(()((()(()(()())))))))
0.836087 S((())(())(()(()(()())))())
0.836087 SBAR(()((())(()()(()(())))))
0.836087 VP(()((()()())(()((()())(()(()))))))
0.836087 VP(()((())()(())))
0.836087 VP(()(())((()())()))
0.836438 S((()())(()(()()()())))
0.836734 VP((()(()))()(()(())))
0.837203 S((()()())(()))
0.837559 NP((()())(()((()())(()(())))))
0.838795 VP(()(())(()(()()())))
0.850202 NP((()())()(()()()))
0.851576 S((()((())(()(())))))
0.852414 PP(()()(()()()))
0.852414 S((()()())(()(()())))
0.853385 PP(()(()(()()())))
0.853385 VP(()((())()(()())))
0.854523 NX(())
0.854523 S((()((()())(()(()())))))
0.854523 S((()())(()((()(())))))
0.854523 VP(()(()((()()())())))
0.854523 VP(()(())(())(()(())))
0.855876 ADVP((()()())())
0.855876 NP((()()())(()((())(()(())))))
0.855876 S((())(()(()(())(()(()()())))))
0.855876 S((())(()()(()())))
0.855876 VP(()((()()()()())(()(()))))
0.855876 VP(()(()((()()()())(()(())))))
0.855876 VP(()(()((())(()(()(()(()())))((()(()(()()()()))))))))
0.855876 VP(()(()(()((())(())))))
0.855876 VP(()(()(()()((()(()(()())))))))
0.855876 VP(()(()())((()(()(()())))))
0.857511 NP((()()())(((())(()(())))))
0.857511 NP((()())(()((()())()(()()))))
0.857511 PP(()((()((()())(()(()()))))))
0.857511 PP(()((()()()()())(()(()))))
0.857511 PP(()((()()()())()(()())))
0.857511 PP(()((())(()((()())(()(()()))))))
0.857511 PP(()((())(()()())))
0.857511 PP(()((())()(()())()))
0.857511 PP(()(()(()()()())))
0.857511 S(((()()())(()(())))(()(())))
0.857511 S((()(()((()()())(()(()()()))))))
0.857511 S((()(()((())(()(()(()()())))))))
0.857511 S((()(()(()((()(()(()))))))))
0.857511 S((()(()(()((()()())(()(())))))))
0.857511 S((()(()(()((()())(()(()())))))))
0.857511 S((()(()(()((())(()))))))
0.857511 S((()(()(()(()()))(()(()())))))
0.857511 S((()(()))())
0.857511 S((()())(()((()(()(()()))))))
0.857511 S((()())(()(()(()(()()())))))
0.857511 S((())(()(()((()(())))))())
0.857511 S((())(()(()((())(()(()()()))))))
0.857511 S((())(()()(())(())))
0.857511 S((())(())(()(()(()(())))))
0.857511 SBAR(((())(()(()((()(())))))))
0.857511 SBAR(((())(()(()(()(()(()())))))))
0.857511 SBAR((())((()(()(()())(()(()()))))))
0.857511 SBAR(()((()(()()))))
0.857511 SBAR(()((()()())(()(()(())))))
0.857511 SBAR(()((())(()(()((())(()(()())))))))
0.857511 SBAR(()()((())(())))
0.857511 VP((())()((())(()(()()))))
0.857511 VP(()(((())(()(()(()(()(()()))))))))
0.857511 VP(()((()(()((()(()(()))))))))
0.857511 VP(()((()(()((()())(()(()())))))))
0.857511 VP(()((()()())(()(())))(()(()())))
0.857511 VP(()((()())(()((()()())(()(()()))))))
0.857511 VP(()((()())(()(()()())))(()(())))
0.857511 VP(()((())(()(()())))(()(())))
0.857511 VP(()(()((()()())(()(()(()()))))))
0.857511 VP(()(()((()())()(()()()))))
0.857511 VP(()(()(()((()(()(()(()))))))))
0.857511 VP(()(()(()((()(())(()))))))
0.857511 VP(()(()(()(()((()())(()(()())))))))
0.857511 VP(()(()(()()()())(()(()))))
0.857511 VP(()(()(()()))(()((())(()(()())))))
0.857511 VP(()(()(())(()((())(()(()()))))))
0.857511 VP(()(()()((()(()((()())(()(()))))))))
0.857511 VP(()(())((())))
0.857511 VP(()()(())(()(()())))
0.864297 VP(()((()(()(())(()(()()))))))
0.865948 S((()(()((()())(()(()()))))))
0.870037 NP((()())(((())(()(())))))
0.871276 VP(()(()(()())(()(()()))))
0.87254 S((()(()(())(()(()())))))
0.872609 NP((()())((())((()(()(()))))))
0.872609 VP(()()(()()()))
0.873481 VP(()(()()())(()(()())))
0.875666 ADJP(()((()(()((()())(()(())))))))
0.875666 ADJP(()(()))
0.875666 ADVP(()(()()))
0.875666 VP(()((())(()(()(()(()))))))
0.877749 NP((())(()))
0.877999 SBAR(((())(()(()))))
0.879358 ADJP(()(()((())(()(()()())))))
0.879358 NP((()()())((())((()(()(()(())))))))
0.879358 NP((()()())(()()(()())))
0.879358 NP((())(((())(()(())))))
0.879358 NP((())((())((()())(()(())))))
0.879358 NP((())((())((())(()(()())))))
0.879358 NP(()((()(()(())))))
0.879358 NP(()()((()(()(())(()(()))))))
0.879358 PP(()((()())(()((())(()(()()))))))
0.879358 PP(()((())(()((()())(()(()()()))))))
0.879358 S((()((()(()(()()()))))))
0.879358 S((()(()(()()())(()(()()())))))
0.879358 S((()(()())(())))
0.879358 S((()()())(()(()(()()()))))
0.879358 S((())(()(()(()(()())))((()(()(()()))))))
0.879358 S((())(()(()())(()(())))())
0.879358 S((())()(()())(()(()))())
0.879358 SBAR((())((()(()(()()()())))))
0.879358 SBAR((())((())(()((()(()(()())))))))
0.879358 SBAR(()((())(()())))
0.879358 VP(()((()(()((())(()(()()())))))))
0.879358 VP(()((()())(((()(()(()())))))))
0.879358 VP(()((()())(()(()(()()())))))
0.879358 VP(()(()((()(())(())))))
0.879358 VP(()(()((()())(()((()(())))))))
0.879358 VP(()(()(()(())))(()(()())))
0.879358 VP(()(()(()()((()(()))))))
0.879358 VP(()(()(()()()))(()(()())))
0.879358 VP(()(()(()())((()(()(()))))))
0.879358 VP(()(()(())(()((()())(()(()()()))))))
0.879358 VP(()(()()((()(()(())(()(())))))))
0.879358 VP(()(()())((()(()(()()())))))
0.879358 VP(()(())(()((()(()(()()))))))
0.880793 VP(()(()((()()())(()(()())))))
0.883909 ADJP(((()()())(()()))())
0.883909 ADJP(((()())(()()))(()(()(()(()(()()())((()(()(()(()(()(()()()())()))(()(())))))))))))
