#### p(f|chinese)/p(f|english)
0.697477 ((()()()())(()(())))
0.702383 (()((()(()(()())))))
0.703144 ((())(()(()(()(()(()()))))))
0.708812 ((()())(()(()(()))))
0.713678 (()((()())(()(()()))))
0.717352 ((()((()(()(()(())))))))
0.717352 ((()((()(()(()()))))))
0.717352 ((()((()(()(()))))))
0.717352 ((()((()()())(()(()()())))))
0.717352 ((()((()())(()(()()())))))
0.717352 ((()(()(()((()(())))))))
0.717352 ((()(()())(()(()()()))))
0.717352 ((()(())((()(()(()))))))
0.717352 ((()()()(()())))
0.717352 ((()()()())()(()()))
0.717352 ((()()())((())((()(())))))
0.717352 ((()()())(()((()())(()(()()())))))
0.717352 ((()()())()((()())(()(()))))
0.717352 ((()())(()((()(()())))))
0.717352 ((()())(()((()()())()(()()))))
0.717352 ((()())(()(()()()()()())))
0.717352 ((()())()(()()()()))
0.717352 ((())((()()(()))))
0.717352 ((())((()()())(()(()()))))
0.717352 ((())((()()())(()(()))))
0.717352 ((())((())((()((()(())))))))
0.717352 ((())((())((()())(()(())))))
0.717352 ((())(()((())(()()))))
0.717352 ((())(())(()(()(()())))())
0.717352 ((())()(()())())
0.717352 (()((()((()())(()(()()))))))
0.717352 (()((()(())((()(()(())))))))
0.717352 (()((()()()())()(()())))
0.717352 (()((()()())((())((()(()))))))
0.717352 (()((()()())(()((()())(()(()()()))))))
0.717352 (()((()()())(()((()())(()(()()))))))
0.717352 (()((()()())(()(()()()()()))))
0.717352 (()((()())(()((()()())()(()())))))
0.717352 (()((()())(()((()())(()(()()()))))))
0.717352 (()((()())(()()(()()()))))
0.717352 (()((()())(()()())))
0.717352 (()((())(()(()(()()()())))))
0.717352 (()((())(()(()()()()()))))
0.717352 (()((())(()()(()(())))))
0.717352 (()(()((()()()())(()(()())))))
0.717352 (()(()((()()()())(()(())))))
0.717352 (()(()((()()())(()((()())(()(())))))))
0.717352 (()(()((()())(()(()(()()))))))
0.717352 (()(()((()())()(()))))
0.717352 (()(()((())((()(()))))))
0.717352 (()(()((())(()(()(()(()())))((()(()(()()()()))))))))
0.717352 (()(()((())()(()((()())(()(()())))))))
0.717352 (()(()(()((()())(()(()()()()))))))
0.717352 (()(()(()((()())(()(()()()))))))
0.717352 (()(()(()((())(())))))
0.717352 (()(()(()(()((()())(()(()()())))))))
0.717352 (()(()(()(()(()())()))))
0.717352 (()(()(()(()()))(()(()()))))
0.717352 (()(()(()()()())()))
0.717352 (()(()(()())()(()())))
0.717352 (()(()()())(()((()())(()(()())))))
0.717352 (()(()()())(()((()))))
0.717352 (()(()())()(()()))
0.717352 (()(())((()(()(()(()()))))))
0.717352 (()(())((()())()))
0.717352 (()(())(()(()(()((()())(()(()())))))))
0.717352 (()(())(()(()(()(()())))))
0.717352 (()(())(()(()()()()())))
0.717352 (()(())(())(()(()())))
0.717352 (()()((()(()(())(()())))))
0.717352 (()()((())(()(()()()))))
0.717352 (()()(()()()()))
0.717352 (()()(())(()))
0.721374 (()((()()())(()(()()()()))))
0.721374 (()((()())(()(()(()()())))))
0.721374 (()((()())()(())))
0.721374 (()(())(()(()()()())))
0.724708 ((()(()(()()()()))))
0.724708 (()(()((()())(()(()()())))))
0.725558 (()((()()())(()(()()()))))
0.72663 ((()()())(()(()()())))
0.743063 ((()())(()(()(()()()))))
0.743063 (()(()(())(()())))
0.743285 (()(()((()())(()(()())))))
0.747148 ((())()(()))
0.748276 ((()((()())(()(())))))
0.748276 ((()())(((())(()(())))))
0.748276 ((()())(()(()(()()()()))))
0.748276 ((())(()((())()(()()))))
0.748276 (()((()(()())(()(())))))
0.748276 (()(()()((()(())))))
0.748276 (()(()()()()()()()))
0.748276 (()(())(()((()()())(()(()())))))
0.748276 (()()((()(()(())(()(()()))))))
0.748276 (()()(()(()(()()))))
0.760329 (()(())())
0.763331 (()((()()())(()(()()))))
0.770736 ((()((())(()(())))))
0.770736 ((()(()((()())(()(()()))))))
0.770736 ((())((()())(()(()))))
0.770736 (()(()(()(()((()())(()(())))))))
0.7744 ((()())()())
0.7744 (()(()(()((()())(()(()))))))
0.787789 ((()()())()(()()))
0.787789 ((()())(()((()())(()(()())))))
0.787789 (()((()()())()(()())))
0.791968 (((()(()))()(()(()(()())))))
0.791968 (((()()())(()(())))(()(())))
0.791968 (((()())(()(())))()((())(()(()))))
0.791968 (((()())()()())(()(())))
0.791968 (((()())())(()))
0.791968 (((())(()(()((()(())))))))
0.791968 (((())(()(()(()(()()()))))))
0.791968 (((())(()(()(()(()())))((()(()(()())))))))
0.791968 (((())(()(())))(()(()(()))))
0.791968 (((())(())(()(()(()()))))()(())(()(()(()(()()()()))))())
0.791968 (((())(())(())))
0.791968 (((())()(()))(()(())))
0.791968 (((())()(())))
0.791968 ((()((()(()(()()()))))))
0.791968 ((()((()()()())(()(())))))
0.791968 ((()((()())(()()))))
0.791968 ((()(()((()(()(()(()()))))))))
0.791968 ((()(()((()(()()()()))))))
0.791968 ((()(()((()()()())(()(()()))))))
0.791968 ((()(()((()()())(()((()())(()(()))))))))
0.791968 ((()(()((()()())(()(()()()()))))))
0.791968 ((()(()((()())(((())(()(()))))))))
0.791968 ((()(()((()())(()((()(()))))))))
0.791968 ((()(()((()())(()(()()())))(()(())))))
0.791968 ((()(()((()())(())))))
0.791968 ((()(()((())((()(())))))))
0.791968 ((()(()((())(()(()(()()())))))))
0.791968 ((()(()(()((()(()(()))))))))
0.791968 ((()(()(()((()(())(())))))))
0.791968 ((()(()(()((()()())(()(()())))))))
0.791968 ((()(()(()((()()())(()(())))))))
0.791968 ((()(()(()((()())(()(()())))))))
0.791968 ((()(()(()((())(()(()(()))))))))
0.791968 ((()(()(()((())(()))))))
0.791968 ((()(()(()(()(()()()()))))))
0.791968 ((()(()(()(()()))(()(()())))))
0.791968 ((()(()(()(()))(()(())))))
0.791968 ((()(()(()()())))()(())(()(()(()())))())
0.791968 ((()(()(()()())))()(())(()(()()))())
0.791968 ((()(()(()())(()(()()())))))
0.791968 ((()(()(())((()(()(()())))))))
0.791968 ((()(()(())(()((())(()(()())))))))
0.791968 ((()(()(())(()((())(()(())))))))
0.791968 ((()(()()((()(()(())(()())))))))
0.791968 ((()(()()()())(()(()))))
0.791968 ((()(()()())(()((())))))
0.791968 ((()(()()())(()(()()()()))))
0.791968 ((()(()())(()(()(()())))))
0.791968 ((()(()())(())))
0.791968 ((()(()())()())(()(())))
0.791968 ((()(()()))()(()(())(())))
0.791968 ((()(()()))()(()))
0.791968 ((()(())(()(()(()()())))))
0.791968 ((()(())(()(()())))()(()(()())))
0.791968 ((()(())())(()(()())))
0.791968 ((()(()))()(()(())(())))
0.791968 ((()(()))())
0.791968 ((()()(()(()(()())))))
0.791968 ((()()()())(()((())(()(()())))))
0.791968 ((()()()())(()(()()()())))
0.791968 ((()()()())(()(()()())))
0.791968 ((()()())((())((()(()(()(())))))))
0.791968 ((()()())(()((()(()()())))))
0.791968 ((()()())(()((()(()())(()(()))))))
0.791968 ((()()())(()((()(()())))))
0.791968 ((()()())(()((()())()())))
0.791968 ((()()())(()(()(()()()))))
0.791968 ((()()())(()(())()(()(()()))))
0.791968 ((()()())(()()(()())))
0.791968 ((()()())()(()(()))())
0.791968 ((()())(((()(()(()()))))))
0.791968 ((()())(((())(()(()((()(()))))))))
0.791968 ((()())(((())(())(()))))
0.791968 ((()())((())((())(()(()()())))))
0.791968 ((()())((())(()(()))))
0.791968 ((()())((())))
0.791968 ((()())(()((()(()()()())))))
0.791968 ((()())(()((()()()()())(()(())))))
0.791968 ((()())(()((()()()())(()(()())))))
0.791968 ((()())(()((()())(()(()(()))))))
0.791968 ((()())(()((()())(()(()))))())
0.791968 ((()())(()((())((()(()(()())))))))
0.791968 ((()())(()((())(()(()(()()))))))
0.791968 ((()())(()(()(())))())
0.791968 ((()())(()(()()()))())
0.791968 ((()())(()(())(()(()(()())))))
0.791968 ((()())(()(())(()(()()()()))))
0.791968 ((()())(())(()(())))
0.791968 ((()())()((()()())(()(()()))))
0.791968 ((()())()((()()())(()(()))))
0.791968 ((()())()((()())(()(()))))
0.791968 ((()())()(()()()())())
0.791968 ((()())()(())()()(()))
0.791968 ((()())()()(()))
0.791968 ((())((()((()())(()())))))
0.791968 ((())((()(()((()(()(()))))))))
0.791968 ((())((()(()((()(()()()())))))))
0.791968 ((())((()(()((()())())))))
0.791968 ((())((()(()(()(()()()()))))))
0.791968 ((())((()(()(()()()())))))
0.791968 ((())((()(()()()()))))
0.791968 ((())((()()(()(()(()))))))
0.791968 ((())((()()())(()(()()()))))
0.791968 ((())((()())(()(()(()(()()))))))
0.791968 ((())((()())(()(()()()()))))
0.791968 ((())((()())(()()(()))))
0.791968 ((())((())((()(()((()(()(())))))))))
0.791968 ((())((())((()(()())))))
0.791968 ((())((())((()()(()(()(())))))))
0.791968 ((())((())((()()(())))))
0.791968 ((())((())((())(()(()())))))
0.791968 ((())((())((())(()(())))))
0.791968 ((())((())(()((()(()(()())))))))
0.791968 ((())((())(()(()())(()))))
0.791968 ((())(()(((()())(()(()))))))
0.791968 ((())(()(((())(()(()(()(()())))((()(()(()()))))))))())
0.791968 ((())(()((()(()(()(())))))))
0.791968 ((())(()((()()()())(()(())))))
0.791968 ((())(()((()()())(()(()()()()())))))
0.791968 ((())(()((()()())(()(()()))))())
0.791968 ((())(()((()()())(()))))
0.791968 ((())(()((()())(((()(()(()())))))))())
0.791968 ((())(()((()())(()((()())(()(()())))))))
0.791968 ((())(()((()())(()(()()()())))))
0.791968 ((())(()((())()(())()()(()()))))
0.791968 ((())(()(()((()(())))))())
0.791968 ((())(()(()((()())(()(()()())))))())
0.791968 ((())(()(()((())((())(()(())))))))
0.791968 ((())(()(()((())(()(()(()(()((()())(()(()))))))))))())
0.791968 ((())(()(()((())(()(()(()(()(()()))))))))())
0.791968 ((())(()(()((())(()(()(()(()())))((()(()(()()()()))))))))())
0.791968 ((())(()(()((())(()(()()()))))))
0.791968 ((())(()(()((())))))
0.791968 ((())(()(()(()((()())(()(())))))))
0.791968 ((())(()(()(()(()(()()()))))))
0.791968 ((())(()(()()(()(())))))
0.791968 ((())(()(()()()()))())
0.791968 ((())(()(()())(()(())))())
0.791968 ((())(()(()())(()(()))))
0.791968 ((())(()(())(()((())))))
0.791968 ((())(()(())(()(()(()((()())(()(()()))))))))
0.791968 ((())(()(())(()()()())))
0.791968 ((())(()()((()(())))))
0.791968 ((())(()()(())(())))
0.791968 ((())(()()(()))())
0.791968 ((())(()()())((()(()(()(()()()))))))
0.791968 ((())(()()())(()))
0.791968 ((())(()())(()(())))
0.791968 ((())(()())(()))
0.791968 ((())(())(()(()(()(())))))
0.791968 ((())(())(()(()(()()))))
0.791968 ((())()((())(()(()()))))
0.791968 ((())()(()(()()()))())
0.791968 ((())()(()()())())
0.791968 ((())()(()())(()(()))())
0.791968 ((())()(())(()(()()())))
0.791968 ((())()(())()()(()()))
0.791968 ((())()(())())
0.791968 ((())()()(()())())
0.791968 ((())()()(()))
0.791968 (()(((()(()))()(()(()(()()))))))
0.791968 (()(((()())(()(())))(()(()()))))
0.791968 (()(((()())())(()(()))))
0.791968 (()(((())(()(()(()(()())))((()(()(()()))))))))
0.791968 (()((()((()()())(()(()()()))))))
0.791968 (()((()((()())(()(()()()))))))
0.791968 (()((()((())(()(()))))))
0.791968 (()((()(()((()()())(()(()()()())))))))
0.791968 (()((()(()((())(()(()(()()()))))))))
0.791968 (()((()(()((()))))))
0.791968 (()((()(()(()((()())(()(()()))))))))
0.791968 (()((()(()(()((())(())))))))
0.791968 (()((()(()(()(()()()()))))))
0.791968 (()((()(()(()(()))(()(()))))))
0.791968 (()((()(()(())((()(()(()()))))))))
0.791968 (()((()(()(())(()((())(()(()()))))))))
0.791968 (()((()(()()((()(()(())(()()))))))))
0.791968 (()((()(()()()())(()(())))))
0.791968 (()((()(()())(()))))
0.791968 (()((()(()())()())(()(()))))
0.791968 (()((()(()())())(()(()()()))))
0.791968 (()((()(()())())(()(()))))
0.791968 (()((()(()()))()(()(()))))
0.791968 (()((()(())(()(()())))()(()(()()))))
0.791968 (()((()(())(()()()))))
0.791968 (()((()(())())(()(()()))))
0.791968 (()((()()()(()()))))
0.791968 (()((()()()())(()((())(()(()()))))))
0.791968 (()((()()()())(()(()()()))))
0.791968 (()((()()())((())((()(()(()(()))))))))
0.791968 (()((()()())(()(())))(()(()())))
0.791968 (()((()())(((()(()(()())))))))
0.791968 (()((()())(((())(()(()((()(())))))))))
0.791968 (()((()())(((())(()(()(())))))))
0.791968 (()((()())((())((()(()(()(()()))))))))
0.791968 (()((()())(()((()()()())(()(()()))))))
0.791968 (()((()())(()((()()())()))))
0.791968 (()((()())(()((()())(()(()(())))))))
0.791968 (()((()())(()((()())()(())))))
0.791968 (()((()())(()((())(()(()()()))))))
0.791968 (()((()())(()(()((()())(()(()()())))))))
0.791968 (()((()())(()(()()()()()()))))
0.791968 (()((()())(()(()()())))(()(())))
0.791968 (()((()())()(()()()())))
0.791968 (()((()())()()(())))
0.791968 (()((())((()()())(()(())))))
0.791968 (()((())((())((()((()(()))))))))
0.791968 (()((())((())((()()(()(()(()))))))))
0.791968 (()((())((())((()())(()(()))))))
0.791968 (()((())((())((())(()(()()))))))
0.791968 (()((())(()((()()())(())))))
0.791968 (()((())(()((())(()())))))
0.791968 (()((())(()((())()(())()()(()())))))
0.791968 (()((())(()(()((()())(()(())))))))
0.791968 (()((())(()(()((())(()(()())))))))
0.791968 (()((())(()(()((()))))))
0.791968 (()((())(()(()(())(()(()()))))))
0.791968 (()((())(()(()())))(()(())))
0.791968 (()((())(()(())(()(()(()((()())(()(()())))))))))
0.791968 (()((())(()()())((()(()(()(()()())))))))
0.791968 (()((())(()()())(())))
0.791968 (()((())(()))()())
0.791968 (()((())()(()())()))
0.791968 (()((())()(()()))())
0.791968 (()((())()(())()()(()())))
0.791968 (()((())()()(()())()))
0.791968 (()((())()()(())))
0.791968 (()(()((()(()((()())(()(()()()))))))))
0.791968 (()(()((()(()((()())(()(()()))))))))
0.791968 (()(()((()(()((()())(()(()))))))))
0.791968 (()(()((()(()(()((())(()))))))))
0.791968 (()(()((()(())(())))))
0.791968 (()(()((()()()())(()(()()())))))
0.791968 (()(()((()()())((())((()(()(()(())))))))))
0.791968 (()(()((()()())(()((()())(()(()())))))))
0.791968 (()(()((()()())(()(()(()()))))))
0.791968 (()(()((()())(((())(()(())))))))
0.791968 (()(()((()())((())((()(())))))))
0.791968 (()(()((()())(()((()(()()())))))))
0.791968 (()(()((()())(()((()(())))))))
0.791968 (()(()((()())(()((()()())()(()()))))))
0.791968 (()(()((()())(()((())(()(())))))))
0.791968 (()(()((()())(()(()()()()()())))))
0.791968 (()(()((()())(()(()()())))(()(()))))
0.791968 (()(()((()())(()()()))))
0.791968 (()(()((()())()(()()()()))))
0.791968 (()(()((()())()(()()()))))
0.791968 (()(()((()()))))
0.791968 (()(()((())(()(()(()(()((()())(()(()))))))))))
0.791968 (()(()((())(()(()(()(()()))((()(()(()()())))))))))
0.791968 (()(()((())(()(()()()())))))
0.791968 (()(()((())(()(()())))(()(()))))
0.791968 (()(()((())(()(())(()(()(()((()())(()(()()))))))))))
0.791968 (()(()(()((()(()((()())(()(()()())))))))))
0.791968 (()(()(()((()(()(()((())(())))))))))
0.791968 (()(()(()((()(()(()())))))))
0.791968 (()(()(()((()(())(()))))))
0.791968 (()(()(()((()()())(()(()()()))))))
0.791968 (()(()(()((()())()(()()()())))))
0.791968 (()(()(()((()())()))))
0.791968 (()(()(()((())(()(()(())))))))
0.791968 (()(()(()(()((()()())(()(()())))))))
0.791968 (()(()(()(()()()()()()))))
0.791968 (()(()(()(()())))(()(()())))
0.791968 (()(()(()(()))(()(()()))))
0.791968 (()(()(()(())))(()(()())))
0.791968 (()(()(()()((()(()(())(()(()()))))))))
0.791968 (()(()(()()((()(()))))))
0.791968 (()(()(()()()())(()(()))))
0.791968 (()(()(()()()()))(()(())))
0.791968 (()(()(()()()))(()((())(()(()())))))
0.791968 (()(()(()()()))(()(()())))
0.791968 (()(()(()())(()())))
0.791968 (()(()(()()))(()((())(()(()())))))
0.791968 (()(()(()()))(()(())))
0.791968 (()(()(())((()(()(()()))))))
0.791968 (()(()(())((()())())))
0.791968 (()(()(())(()((()())(()(()()()))))))
0.791968 (()(()(())(()((()())(()(()()))))))
0.791968 (()(()()((()(()(())(()()))))))
0.791968 (()(()()(())))
0.791968 (()(()()()(()()())))
0.791968 (()(()()())((())((())(()(()(()))))))
0.791968 (()(()()())(()((()()())(((())(()))))))
0.791968 (()(()()())(()((()()())(()(())))))
0.791968 (()(()()())(()((()())(()(()(()))))))
0.791968 (()(()()())(()(()()()())))
0.791968 (()(()())((()(()(())(()())))))
0.791968 (()(()())((()())(()(()))))
0.791968 (()(()())(()((()(())))))
0.791968 (()(()())(()((()())()(()()()))))
0.791968 (()(()())(()((())(()(()())))))
0.791968 (()(()())()(()(()(()))))
0.791968 (()(())((()()())(()(()))))
0.791968 (()(())((()())(()(()()()))))
0.791968 (()(())((())))
0.791968 (()(())(()((()(()(()()))))))
0.791968 (()(())(()((()()()())(()(()())))))
0.791968 (()(())(()((()()())()())))
0.791968 (()(())(()((()())(()(()(()()))))))
0.791968 (()(())(()((())(()(()(()()))))))
0.791968 (()()((()(()((()())(()((()(())))))))))
0.791968 (()()((()(()(()((()(()))))))))
0.791968 (()()((()(()(()())(()(()))))))
0.791968 (()()((()(()()()()))))
0.791968 (()()((()())(()(()()()()))))
0.791968 (()()((())(())))
0.791968 (()()(()((()())(()(()())))))
0.791968 (()()(()(()()(()(()())))))
0.791968 (()()(()()())())
0.791968 (()()(())(()(()(()(()())))))
0.791968 (()()()(()(()()())))
0.791968 (()()()(()()()))
0.791968 (()()()(())())
0.795949 ((()(()(()(()()())))))
0.801177 (()(())(()()()))
0.807661 (()(()(()(()()()))))
0.811427 (()(()())())
0.812706 (((()())(()(()))))
0.812706 ((()((()())(()(()())))))
0.812706 ((()(()()())(()(()()))))
0.812706 ((()(()()))()(()(())))
0.812706 ((()()(())))
0.812706 ((()()())(()(()()()()())))
0.812706 ((()())((())((())(()(())))))
0.812706 ((()())(()(()(()(()())))))
0.812706 ((())(()((())(()(()()())))))
0.812706 (()(((())(()))))
0.812706 (()((()(()(()()()())))))
0.812706 (()((()()())()(())))
0.812706 (()((()())((())((()(()(())))))))
0.812706 (()((()())(()((()())(()(()))))))
0.812706 (()((()())(()((())(()(()()))))))
0.812706 (()((())((())((()(()(()(()))))))))
0.812706 (()((())(()()())))
0.812706 (()(()((()(()(())(()(()())))))))
0.812706 (()(()((()()())(()(()()()())))))
0.812706 (()(()((())(()(()(()))))))
0.812706 (()(()(()(()(()()()())))))
0.812706 (()(()()((()(()(())(()(()())))))))
0.812706 (()(()()()())(()(())))
0.812706 (()(())((()(()(()())))))
0.812706 (()(())(()((()())(()(()()())))))
0.81649 (()((())))
0.818049 (()((()(()()))))
0.820849 ((()())()(()))
0.820849 (()((())()(()())))
0.820991 (()(()())(()(()())))
0.82735 ((()(()(()())(()(())))))
0.82735 ((()(()())(()(()()))))
0.82735 ((()(()())(()(()))))
0.82735 ((()())(()()()))
0.82735 ((())((())(()(()()()))))
0.82735 ((())()(()()()()))
0.82735 (()((()()())(()(()(()())))))
0.82735 (()((())()))
0.82735 (()(()((())(()))))
0.82735 (()()()(()()))
0.835734 (()((()(()))))
0.838243 ((()(()(()())(()(()())))))
0.844006 (()((())(()(()()()))))
0.846662 ((()())(()((())(()(())))))
0.846662 (()(()(()(()(()()())))))
0.86204 (()()())
0.863363 (()((()(()(()()())))))
0.863984 ((()(()())))
0.86828 ((())(()(()()())))
0.868647 ((()(())))
0.883909 ((((()((()(()(()(()()())())(()((())(()((((()(()(()()))))(()((()())(((()())(()(()(()))))))))))))))))()(()(())(())(()(())))))(()(())(()((()(()(()()))))))())
0.883909 ((((()((()()())(()((())((()(()(()())(()(()())))))))))))()()(((()())(()(())))((())(()(()(())(()(()()())))))))
0.883909 ((((()((()()())(()(()))))()(()(()()))))(()(()(()()))))
0.883909 ((((()((()())(()(()()())))))(()((())(())(()((())(()(()(()()()))))))))()()((())(()()))())
0.883909 ((((()(()((()(()(()))))))(()()())(()(()()))))(()(()()())((())((()(())))))())
0.883909 ((((()(()((()())(()(())))))()(()(()(()()()))()((()((()(()(()(()))))))))))(()(()(()(()))))())
0.883909 ((((()(()((()())()((()())(()(()))))))()(())))(()(((()())(()((())((())(()(()((())(()(()()()))))))))))))
0.883909 ((((()(()(()(()))))()(()(()()()))))(()(())(()((()()())(()()))))())
0.883909 ((((()(()(()()()))))(()()(())))()()((())(()((()(()((()())()((()(()(()()()))))))))))())
0.883909 ((((()(()(()())(()(()())))))()(())(()(()((())(()(()(()())(())))))))()((()())(()((()()())(()(())))))(()(()(()()())))())
0.883909 ((((()(()(()())))()(()(()()())(()(()())))))(()(()()((()(()(()))))))())
0.883909 ((((()(()(()()))))(()((()())(((()())(()(()(())))))))))
0.883909 ((((()(()(())((()(()))()()(()((()()())(()(()()))))()))))(()((()((())()(())((()(()(()(()()))(()(()()))))))))))()((()()())(()))())
0.883909 ((((()(()(())))(()(()))))((())(()(())(()(())((()(())))))()))
0.883909 ((((()(()(())))())()((()(()()))()(()(()()()()))))())
0.883909 ((((()(()()((()(()(()()()()))))))(()())(()(()))))((()(()((()(())())(()(()())))))()()(()(()(()((())(()((())()(())()()(()()))))))))())
0.883909 ((((()(()()()()()()()))()()(()((())((()(()(()())))))))()(()(())(()(()()())))))
0.883909 ((((()(()())(()(()())))()(()(()()))()(()(())(()((()))))))()((()())(()(()(()((()()()()())()(()())()(()()()))))))())
0.883909 ((((()(()())())(()(()()())))(()(())(()(()()()((()(()(()((()())(()(()()(()(())))()(()((())(()(())))))))))))))))
0.883909 ((((()(()()))()(()))()()())((()()())()))
0.883909 ((((()(())(()(()()))))(()()(()((())((())((()(()((()(()(()))))))))))))()(())(()(())(()(((()())())()(()()))))())
0.883909 ((((()(())(()(()))))(()(()()())(()((()()()())(()(()))))))()((())(()((()())(()(()((()(()))))))))())
0.883909 ((((()(()))(()(()))()(()(()))()(()()())(()(()((())(()(()(()(()((())((()())(()((()())(()(()()()))))))))))))))()((())(()((())(()())((()(()(()(()()))))))))))
0.883909 ((((()(()))()(()(())(()((()((())(()(()()())))))))))(()(())((()()())(()(()))))())
0.883909 ((((()(()))()(()(()))))(()((()()())(()(()()()))))())
0.883909 ((((()(()))()(()(()))))()(()()()())(()(())((())(()(()())))(()((())(()((()(())))))))())
0.883909 ((((()(())))(()(()((())()((())((())(()((())(()(()))))))))))()((()())(()(()((())(()(()((()()())(()(())))(()(((()()())(()(())))(()(())))))))))))
0.883909 ((((()(())))()((()()(())(()(()())))))()()((())(()((()())(()((()()())(((())(()(()((())((())(()(()(()()))))))))))))))())
0.883909 ((((()()()()())())(()(()(()(()(()())))))))
0.883909 ((((()()()())(()(()(()()()()))((()(()(()()))))))(()(())(()((()()())(()(())))(()(()()()()))))))
0.883909 ((((()()()())()(()()()))(()()(()((()()(())(()(()((()))))))))))
0.883909 ((((()()())((())((()())(()(()(()()))))))(()(()((())((()()())(()(()()()))))))))
0.883909 ((((()()())(()(()()())))()((())(()((())(()(()()))))))()((()())(()(()))))
0.883909 ((((()()())(()(()())))(()(()((())(()(()()))))))()((())()(()(())(()(()))))())
0.883909 ((((()()())(()(())()))(()((()()())(()(()())))()((()(())((()(()(()()()()))))))))(()(())(()(()()()())(()(()())))))
0.883909 ((((()()())(()(())))(()((()())(()(())))()(()((())(()(())(()(()()((()(()(()()())(())((()(()(()()))))))))))())))))
0.883909 ((((()()())(()(())))(()(())(()(()((()(()(())))))))))
0.883909 ((((()()())(()(())))(()(())))()((())(()(()))))
0.883909 ((((()()())(()))(()(())((()()())(()))))()()((())(()())(()(()(()))(()())))())
0.883909 ((((()()())()(()))(()(()()())(()((()())(()(()())))))))
0.883909 ((((()())(((())(()(()(()))))))(()(((())()(()()))())())))
0.883909 ((((()())((()(()(()())))(()(()()(((()(()(()()))))(()((())(()(()))))))())()(()(()(())))))(()(()((())(())(())(()((())(()(()()()))))))()))(()(())))
